,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,3.63E-01,2.10E-10,5.48E-09,4.55E-08,1.63E-10,1.22E-07,3.23E-08,2.69E-08,1.46E-07,1.91E-08,2.83E-09,2.40E-08,2.40E-08,3.11E-07,1.38E-07,2.30E-08,6.19E-09,1.38E-07,7.13E-10,3.18E-08,1.56E-08,1.56E-08,1.00E-06,8.93E-09,3.30E-09,2.41E-09,4.49E-09,1.45E-08
Brain,2.10E-10,3.63E-03,1.02E-09,2.49E-09,8.20E-08,9.32E-11,7.94E-11,3.00E-11,2.78E-10,4.46E-11,6.10E-12,9.24E-10,9.24E-10,9.93E-11,3.09E-10,1.92E-09,7.86E-12,1.41E-10,6.89E-08,1.38E-08,1.71E-08,1.71E-08,2.49E-10,2.11E-09,7.22E-09,4.22E-12,6.57E-12,7.68E-09
Breasts,5.48E-09,1.02E-09,9.45E-03,1.54E-08,2.65E-09,4.00E-09,2.23E-09,2.02E-09,1.13E-08,2.57E-09,1.77E-10,3.16E-08,3.16E-08,2.43E-09,1.19E-08,2.53E-08,2.78E-10,7.73E-09,3.86E-09,6.75E-09,4.41E-09,4.41E-09,4.58E-09,3.31E-08,1.30E-08,1.21E-10,3.00E-10,7.87E-05
Esophagus,4.55E-08,2.49E-09,1.54E-08,1.35E-01,2.32E-09,1.79E-08,7.84E-09,5.08E-09,4.50E-08,4.85E-09,2.75E-10,1.79E-07,1.82E-07,1.70E-08,5.61E-08,8.92E-08,1.18E-09,5.45E-08,1.23E-08,1.01E-08,9.77E-09,9.77E-09,3.22E-08,1.26E-07,2.88E-07,6.05E-10,1.05E-09,7.87E-05
Eyes,1.63E-10,8.65E-08,2.65E-09,2.32E-09,3.15E-01,6.78E-11,6.48E-11,4.71E-11,3.07E-10,2.35E-11,4.53E-11,1.23E-09,1.23E-09,1.20E-10,3.86E-10,1.82E-09,2.60E-11,1.80E-10,5.46E-08,1.38E-08,1.71E-08,1.71E-08,2.34E-10,2.28E-09,7.24E-09,2.32E-11,7.24E-11,7.87E-05
Gallbladder Wall,1.22E-07,9.32E-11,4.00E-09,1.79E-08,6.78E-11,4.90E-05,1.26E-07,8.93E-08,2.68E-08,1.28E-07,6.95E-09,9.70E-09,9.70E-09,1.28E-07,1.08E-07,9.03E-09,1.51E-08,1.19E-07,2.39E-10,1.17E-08,5.93E-09,5.93E-09,1.96E-08,4.70E-09,1.75E-09,6.62E-09,1.29E-08,7.87E-05
Left colon,3.23E-08,7.94E-11,2.23E-09,7.84E-09,6.48E-11,1.26E-07,2.67E-05,7.79E-08,7.13E-08,2.65E-08,3.45E-08,1.26E-07,1.26E-07,4.30E-08,1.59E-08,6.16E-09,2.99E-08,4.32E-08,1.05E-10,3.00E-08,1.04E-08,1.04E-08,8.72E-08,2.20E-09,7.80E-10,2.11E-08,3.69E-08,7.88E-05
Small Intestine,2.69E-08,4.39E-11,2.02E-09,7.45E-09,6.90E-11,8.93E-08,7.79E-08,7.75E-06,4.64E-08,7.61E-08,3.12E-08,6.19E-09,6.19E-09,4.27E-08,2.01E-08,4.48E-09,6.08E-08,1.12E-07,1.59E-10,2.45E-08,7.99E-09,7.99E-09,3.10E-08,1.99E-09,7.70E-10,3.53E-08,8.35E-08,7.87E-05
Stomach Wall,1.45E-07,2.78E-10,1.13E-08,4.16E-08,3.07E-10,2.69E-08,7.13E-08,4.36E-08,1.03E-05,7.42E-09,2.06E-09,5.15E-08,5.15E-08,3.99E-08,3.32E-08,4.15E-08,3.63E-09,1.91E-07,9.84E-10,9.64E-09,5.94E-09,5.94E-09,2.24E-07,1.10E-08,4.95E-09,1.56E-09,3.06E-09,7.87E-05
Right colon,1.91E-08,1.91E-08,2.57E-09,4.85E-09,2.35E-11,1.28E-07,2.65E-08,7.61E-08,7.42E-09,1.40E-05,1.02E-08,4.47E-09,4.47E-09,3.93E-08,3.23E-08,3.50E-09,2.77E-08,3.65E-08,1.18E-10,2.06E-08,6.81E-09,6.81E-09,1.06E-08,1.77E-09,8.24E-10,9.64E-09,1.98E-08,7.88E-05
