,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,1.43E-01,1.95E-10,7.77E-08,7.33E-11,2.06E-07,2.34E-07,9.31E-08,1.82E-07,9.60E-08,1.08E-08,4.95E-08,4.95E-08,9.43E-07,2.87E-07,4.63E-08,2.55E-07,1.24E-08,1.01E-09,6.73E-08,3.01E-08,3.01E-08,5.55E-07,4.03E-10,1.48E-08,6.57E-09,5.56E-09,2.75E-05
Brain,1.95E-10,1.38E-03,8.11E-09,1.64E-07,2.02E-10,1.68E-10,6.51E-11,6.48E-10,1.01E-10,7.92E-12,9.76E-10,9.76E-10,1.52E-10,3.69E-10,2.43E-09,3.06E-10,9.03E-12,1.60E-07,2.47E-08,3.64E-08,3.64E-08,2.89E-10,9.23E-12,2.18E-09,1.11E-08,5.78E-12,2.75E-05
Esophagus,8.33E-08,8.11E-09,5.01E-02,6.29E-09,4.76E-08,3.59E-08,1.80E-08,2.57E-07,2.00E-08,4.84E-10,3.03E-07,3.03E-07,3.05E-08,1.06E-07,2.09E-07,1.20E-07,1.35E-09,4.81E-08,2.03E-08,2.14E-08,2.14E-08,7.39E-08,7.31E-11,1.88E-07,5.92E-07,6.83E-10,2.75E-05
Eyes,7.33E-11,1.70E-07,6.29E-09,1.34E-01,4.74E-10,1.14E-10,1.14E-10,7.38E-10,3.32E-11,8.35E-11,1.40E-09,1.40E-09,1.32E-10,5.71E-10,1.94E-09,4.26E-10,5.35E-11,6.61E-08,2.47E-08,3.64E-08,3.64E-08,2.85E-10,6.10E-12,2.27E-09,5.91E-09,1.39E-11,2.75E-05
Gallbladder Wall,2.08E-07,2.02E-10,4.76E-08,4.74E-10,1.80E-05,1.01E-07,8.12E-08,5.84E-08,5.08E-07,6.74E-09,6.05E-08,6.05E-08,1.04E-07,4.76E-07,3.62E-08,1.22E-07,1.02E-08,8.80E-10,2.87E-08,1.10E-08,1.10E-08,2.26E-08,4.92E-10,1.99E-08,5.90E-09,4.63E-09,2.75E-05
LLI Wall,2.34E-07,1.68E-10,3.59E-08,1.14E-10,1.01E-07,9.19E-06,3.26E-07,1.95E-07,6.84E-08,9.38E-08,4.28E-08,4.28E-08,1.45E-07,3.83E-08,2.82E-08,4.73E-07,4.74E-08,4.54E-10,5.86E-08,2.01E-08,2.01E-08,1.61E-07,1.48E-09,9.11E-09,3.09E-09,2.20E-08,2.75E-05
Small Intestine,9.31E-08,6.51E-11,1.80E-08,1.76E-10,8.12E-08,3.26E-07,2.39E-06,7.72E-08,2.37E-07,1.43E-07,2.19E-08,2.19E-08,7.39E-08,3.79E-08,1.07E-08,2.57E-07,1.05E-07,2.07E-10,5.13E-08,1.54E-08,1.54E-08,4.23E-08,5.47E-09,5.31E-09,1.67E-09,7.58E-08,2.75E-05
Stomach Wall,1.71E-07,6.73E-10,2.57E-07,7.38E-10,5.63E-08,1.95E-07,5.02E-08,4.34E-06,1.58E-08,3.96E-09,2.28E-07,2.28E-07,6.30E-08,9.02E-08,1.33E-07,7.47E-07,4.24E-09,1.95E-09,2.08E-08,9.99E-09,9.99E-09,3.01E-07,2.26E-10,4.58E-08,1.75E-08,1.79E-09,2.75E-05
ULI Wall,9.60E-08,1.01E-10,2.00E-08,3.32E-11,5.08E-07,6.84E-08,1.54E-07,1.58E-08,5.86E-06,2.12E-08,3.15E-08,3.15E-08,9.17E-08,1.13E-07,1.54E-08,1.29E-07,3.71E-08,2.63E-10,4.24E-08,1.32E-08,1.32E-08,2.32E-08,3.21E-09,8.46E-09,1.64E-09,2.52E-08,2.75E-05
Rectum,1.08E-08,7.92E-12,1.54E-09,8.35E-11,6.74E-09,9.38E-08,1.43E-07,3.96E-09,2.12E-08,1.03E-05,1.33E-09,1.33E-09,2.20E-08,3.74E-09,9.02E-10,9.47E-09,6.05E-07,1.42E-11,5.86E-08,2.01E-08,2.01E-08,7.13E-09,3.14E-08,3.46E-10,2.70E-10,3.16E-07,2.75E-05
