,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,4.12E-01,4.47E-12,4.83E-10,2.29E-12,1.14E-09,1.27E-09,5.12E-10,1.04E-09,5.62E-10,8.84E-11,3.14E-10,3.14E-10,4.86E-09,1.60E-09,2.69E-10,1.37E-09,1.28E-10,1.17E-11,4.66E-10,2.10E-10,2.10E-10,2.85E-09,8.41E-12,1.24E-10,6.31E-11,6.12E-11,7.90E-05
Brain,4.47E-12,3.98E-03,7.07E-11,1.09E-09,3.54E-12,3.29E-12,1.22E-12,8.93E-12,1.86E-12,2.77E-13,1.31E-11,1.31E-11,2.64E-12,6.79E-12,2.77E-11,4.71E-12,2.76E-13,1.06E-09,1.64E-10,2.37E-10,2.37E-10,5.71E-12,2.09E-13,2.68E-11,1.06E-10,1.65E-13,7.90E-05
Esophagus,4.97E-10,7.07E-11,1.44E-01,6.05E-11,2.95E-10,2.28E-10,1.23E-10,1.39E-09,1.45E-10,7.30E-12,1.65E-09,1.67E-09,2.18E-10,6.27E-10,1.15E-09,7.03E-10,2.06E-11,2.98E-10,1.47E-10,1.49E-10,1.49E-10,4.43E-10,2.45E-12,1.06E-09,3.14E-09,1.04E-11,7.90E-05
Eyes,2.29E-12,1.13E-09,6.05E-11,3.85E-01,7.62E-12,4.65E-12,1.64E-12,8.94E-12,1.32E-12,1.09E-12,1.81E-11,1.81E-11,3.10E-12,7.89E-12,2.40E-11,6.22E-12,6.67E-13,5.42E-10,1.64E-10,2.37E-10,2.37E-10,4.44E-12,3.00E-13,2.91E-11,8.12E-11,1.02E-12,7.90E-05
Gallbladder Wall,1.14E-09,3.54E-12,2.95E-10,7.62E-12,1.48E-07,5.56E-10,4.79E-10,3.76E-10,2.66E-09,5.91E-11,3.70E-10,3.70E-10,5.93E-10,2.54E-09,2.34E-10,6.86E-10,9.32E-11,9.94E-12,2.13E-10,8.43E-11,8.43E-11,1.70E-10,7.43E-12,1.47E-10,5.17E-11,5.10E-11,7.90E-05
LLI Wall,1.27E-09,3.29E-12,2.28E-10,4.65E-12,5.56E-10,9.72E-08,1.72E-09,1.07E-09,4.04E-10,5.11E-10,2.68E-10,2.68E-10,7.98E-10,2.44E-10,1.72E-10,2.49E-09,2.92E-10,5.85E-12,3.74E-10,1.41E-10,1.41E-10,8.91E-10,1.78E-11,8.22E-11,3.13E-11,1.65E-10,7.90E-05
Small Intestine,5.12E-10,1.22E-12,1.23E-10,2.52E-12,4.79E-10,1.72E-09,2.30E-08,4.57E-10,1.29E-09,7.90E-10,1.51E-10,1.51E-10,4.62E-10,2.47E-10,7.64E-11,1.38E-09,6.00E-10,3.95E-12,3.38E-10,1.07E-10,1.07E-10,2.67E-10,4.95E-11,4.85E-11,1.79E-11,4.48E-10,7.90E-05
Stomach Wall,9.60E-10,8.62E-12,1.40E-09,8.94E-12,3.59E-10,1.07E-09,2.97E-10,3.61E-08,9.99E-11,4.10E-11,1.23E-09,1.23E-09,3.94E-10,5.24E-10,7.26E-10,3.91E-09,4.48E-11,2.12E-11,1.56E-10,7.68E-11,7.68E-11,1.62E-09,3.93E-12,2.85E-10,1.17E-10,2.15E-11,7.90E-05
ULI Wall,5.62E-10,1.86E-12,1.45E-10,1.32E-12,2.66E-09,4.04E-10,8.38E-10,9.99E-11,5.41E-08,1.64E-10,2.10E-10,2.10E-10,5.31E-10,6.46E-10,1.07E-10,7.90E-10,2.56E-10,4.98E-12,2.86E-10,9.51E-11,9.51E-11,1.66E-10,2.26E-11,6.43E-11,1.05E-11,1.88E-10,7.90E-05
Rectum,8.84E-11,2.77E-13,1.86E-11,1.09E-12,5.91E-11,5.11E-10,7.90E-10,4.10E-11,1.64E-10,1.01E-07,1.75E-11,1.75E-11,1.61E-10,3.98E-11,1.18E-11,7.76E-11,3.13E-09,4.15E-13,3.74E-10,1.41E-10,1.41E-10,6.37E-11,2.33E-10,5.61E-12,2.83E-12,1.66E-09,7.90E-05
Heart Wall,3.02E-10,1.48E-11,1.49E-09,1.81E-11,3.62E-10,2.68E-10,1.51E-10,1.29E-09,2.10E-10,1.75E-11,5.65E-03,1.75E-02,1.51E-10,6.97E-10,1.11E-09,8.77E-10,2.09E-11,4.10E-11,2.06E-10,1.10E-10,1.10E-10,2.63E-10,1.95E-12,2.54E-09,3.09E-10,1.02E-11,7.90E-05
Kidneys,4.75E-09,2.96E-12,2.00E-10,3.09E-12,5.78E-10,7.98E-10,4.62E-10,4.10E-10,5.30E-10,1.61E-10,1.49E-10,1.49E-10,1.86E-02,7.56E-10,1.38E-10,5.85E-10,2.23E-10,6.90E-12,3.28E-10,1.22E-10,1.22E-10,1.61E-09,1.58E-11,5.83E-11,2.92E-11,8.55E-11,7.90E-05
Liver,1.52E-09,7.28E-12,5.56E-10,7.89E-12,2.40E-09,2.43E-10,2.47E-10,5.45E-10,6.45E-10,3.98E-11,6.98E-10,6.99E-10,7.52E-10,3.20E-03,5.30E-10,7.39E-10,6.17E-11,1.80E-11,1.70E-10,9.43E-11,9.43E-11,2.11E-10,5.40E-12,2.55E-10,9.80E-11,3.03E-11,7.90E-05
Lungs,2.58E-10,2.85E-11,1.00E-09,2.40E-11,2.16E-10,1.72E-10,7.64E-11,7.22E-10,1.07E-10,1.18E-11,1.06E-09,1.08E-09,1.32E-10,5.15E-10,4.81E-03,3.54E-10,1.50E-11,8.03E-11,2.13E-10,1.30E-10,1.30E-10,3.09E-10,1.39E-12,1.01E-09,7.24E-10,7.20E-12,7.90E-05
Pancreas,1.32E-09,4.71E-12,6.19E-10,6.22E-12,6.91E-10,2.46E-09,1.36E-09,4.07E-09,8.71E-10,7.76E-11,8.86E-10,8.86E-10,5.89E-10,7.53E-10,3.67E-10,4.12E-02,8.72E-11,1.12E-11,2.81E-10,1.25E-10,1.25E-10,9.54E-10,8.42E-12,2.15E-10,6.73E-11,4.19E-11,7.90E-05
Prostate,1.28E-10,2.76E-13,2.06E-11,6.67E-13,9.32E-11,2.91E-10,3.89E-10,4.48E-11,2.56E-10,3.13E-09,2.06E-11,2.06E-11,2.23E-10,6.17E-11,1.50E-11,8.72E-11,3.39E-01,2.70E-12,1.64E-10,7.61E-11,7.61E-11,7.23E-11,1.95E-10,8.76E-12,3.76E-12,2.37E-09,7.90E-05
Salivary Glands,1.17E-11,1.04E-09,2.99E-10,5.66E-10,8.85E-12,5.85E-12,2.56E-12,2.35E-11,4.98E-12,4.19E-13,3.83E-11,3.83E-11,6.90E-12,1.80E-11,8.03E-11,1.12E-11,6.27E-13,6.79E-02,1.47E-10,1.49E-10,1.49E-10,1.53E-11,8.10E-13,9.33E-11,4.06E-10,3.58E-13,7.90E-05
Red Marrow,2.66E-10,2.04E-10,4.17E-10,1.26E-10,1.37E-10,1.75E-10,1.53E-10,2.37E-10,1.42E-10,3.80E-10,2.48E-10,2.48E-10,2.38E-10,2.16E-10,3.80E-10,1.78E-10,5.24E-10,1.61E-10,4.93E-03,3.95E-10,2.46E-03,2.58E-10,6.14E-11,4.04E-10,3.24E-10,2.69E-10,1.16E-04
Osteogenic Cells,3.17E-10,5.59E-10,3.97E-10,6.30E-10,1.42E-10,1.85E-10,1.70E-10,2.41E-10,1.59E-10,2.59E-10,1.94E-10,1.94E-10,2.80E-10,1.95E-10,2.84E-10,2.06E-10,3.66E-10,5.74E-10,4.33E-03,9.20E-03,9.27E-03,2.65E-10,9.38E-11,2.25E-10,2.93E-10,2.21E-10,7.63E-04
Spleen,2.71E-09,5.71E-12,3.90E-10,4.44E-12,1.61E-10,8.91E-10,2.67E-10,1.65E-09,1.66E-10,6.37E-11,2.54E-10,2.54E-10,1.56E-09,2.04E-10,3.06E-10,9.09E-10,7.30E-11,1.36E-11,1.74E-10,9.50E-11,9.50E-11,3.85E-02,5.53E-12,1.05E-10,7.30E-11,2.80E-11,7.90E-05
