,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,1.28E-02,4.02E-09,5.66E-08,3.54E-07,2.86E-09,8.68E-07,2.46E-07,2.09E-07,1.01E-06,1.57E-07,3.14E-08,1.88E-07,1.89E-07,4.72E-06,1.63E-06,2.12E-07,6.60E-08,1.05E-06,8.55E-09,2.80E-07,1.46E-07,1.46E-07,2.31E-05,7.39E-08,3.33E-08,2.60E-08,4.83E-08,3.01E-06
Brain,4.02E-09,1.33E-04,1.43E-08,2.81E-08,7.20E-07,2.02E-09,1.52E-09,6.61E-10,4.89E-09,1.16E-09,2.26E-10,1.28E-08,1.28E-08,2.16E-09,5.35E-09,2.44E-08,3.17E-10,2.53E-09,6.07E-07,1.28E-07,1.44E-07,1.44E-07,4.55E-09,2.68E-08,7.81E-08,1.40E-10,1.93E-10,2.95E-06
Breasts,5.66E-08,1.43E-08,3.40E-04,1.37E-07,3.18E-08,4.53E-08,2.36E-08,2.43E-08,1.05E-07,3.08E-08,3.43E-09,2.73E-07,2.73E-07,2.78E-08,1.09E-07,2.16E-07,4.52E-09,7.23E-08,4.09E-08,6.63E-08,4.31E-08,4.31E-08,4.75E-08,2.94E-07,1.26E-07,2.26E-09,5.67E-09,2.94E-06
Esophagus,3.57E-07,2.80E-08,1.37E-07,4.75E-03,2.95E-08,1.54E-07,6.89E-08,4.38E-08,3.47E-07,5.22E-08,3.75E-09,1.19E-06,2.31E-06,1.44E-07,4.39E-07,6.67E-07,1.52E-08,4.29E-07,1.08E-07,9.41E-08,9.34E-08,9.34E-08,2.60E-07,1.01E-06,1.96E-06,7.54E-09,1.33E-08,2.96E-06
Eyes,2.86E-09,7.68E-07,3.24E-08,2.95E-08,1.11E-02,2.17E-09,1.72E-09,1.03E-09,5.96E-09,8.02E-10,7.70E-10,1.66E-08,1.67E-08,2.31E-09,6.30E-09,2.26E-08,5.02E-10,3.24E-09,5.31E-07,1.28E-07,1.44E-07,1.44E-07,3.97E-09,3.48E-08,7.94E-08,5.28E-10,8.23E-10,2.95E-06
Gallbladder Wall,9.10E-07,2.02E-09,4.55E-08,1.55E-07,2.17E-09,7.59E-04,6.60E-07,6.07E-07,2.11E-07,8.73E-07,6.69E-08,8.02E-08,8.05E-08,9.69E-07,8.12E-07,8.38E-08,1.35E-07,8.86E-07,4.21E-09,1.11E-07,5.46E-08,5.46E-08,1.62E-07,4.01E-08,2.03E-08,5.95E-08,1.06E-07,3.00E-06
LLI Wall,2.47E-07,1.52E-09,2.36E-08,6.89E-08,1.72E-09,6.60E-07,4.49E-04,5.98E-07,5.59E-07,1.83E-07,2.45E-07,6.60E-07,6.60E-07,3.44E-07,1.31E-07,5.54E-08,2.37E-07,3.31E-07,2.18E-09,2.50E-07,9.12E-08,9.12E-08,6.61E-07,2.62E-08,8.39E-09,1.67E-07,2.87E-07,3.01E-06
Small Intestine,2.10E-07,9.69E-10,2.43E-08,6.45E-08,1.50E-09,6.07E-07,5.98E-07,1.29E-04,3.53E-07,5.86E-07,2.46E-07,5.57E-08,5.59E-08,3.38E-07,1.68E-07,4.23E-08,4.67E-07,1.17E-06,2.93E-09,2.07E-07,7.02E-08,7.02E-08,2.48E-07,2.21E-08,9.23E-09,2.81E-07,8.18E-07,2.99E-06
Stomach Wall,1.15E-06,4.89E-09,1.06E-07,3.19E-07,5.96E-09,2.10E-07,5.59E-07,3.30E-07,1.60E-04,6.54E-08,2.38E-08,3.88E-07,3.90E-07,3.19E-07,2.84E-07,4.35E-07,3.85E-08,1.78E-06,1.14E-08,9.01E-08,5.29E-08,5.29E-08,2.52E-06,9.43E-08,4.54E-08,2.08E-08,3.12E-08,3.00E-06
ULI Wall,1.58E-07,1.57E-07,3.09E-08,5.22E-08,8.02E-10,8.73E-07,1.83E-07,5.86E-07,6.54E-08,2.27E-04,9.27E-08,4.52E-08,4.54E-08,3.62E-07,3.06E-07,3.58E-08,2.26E-07,2.92E-07,1.95E-09,1.63E-07,5.97E-08,5.97E-08,9.27E-08,2.58E-08,1.22E-08,8.65E-08,1.69E-07,3.01E-06
