,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,1.19E-02,3.03E-09,2.38E-07,1.60E-09,5.69E-07,6.45E-07,2.55E-07,5.19E-07,2.90E-07,4.73E-08,1.49E-07,1.52E-07,7.75E-06,1.46E-06,1.37E-07,6.73E-07,6.97E-08,6.70E-09,2.44E-07,1.11E-07,1.11E-07,1.40E-06,5.71E-09,6.49E-08,3.54E-08,3.43E-08,2.47E-06
Brain,3.03E-09,1.20E-04,3.95E-08,5.71E-07,2.50E-09,2.19E-09,9.15E-10,5.65E-09,1.24E-09,2.00E-10,8.05E-09,8.05E-09,1.86E-09,4.54E-09,1.65E-08,3.12E-09,2.03E-10,5.50E-07,8.82E-08,1.27E-07,1.27E-07,3.72E-09,1.08E-10,1.63E-08,5.98E-08,1.42E-10,2.43E-06
Esophagus,2.53E-07,3.96E-08,4.16E-03,3.31E-08,1.50E-07,1.15E-07,6.48E-08,6.98E-07,7.37E-08,4.60E-09,8.31E-07,1.14E-06,1.12E-07,2.97E-07,5.78E-07,3.59E-07,1.30E-08,1.55E-07,7.85E-08,8.02E-08,8.02E-08,2.21E-07,1.95E-09,5.38E-07,1.60E-06,7.18E-09,2.45E-06
Eyes,1.60E-09,5.67E-07,3.30E-08,1.12E-02,5.28E-09,3.44E-09,1.07E-09,5.70E-09,9.69E-10,6.90E-10,1.16E-08,1.16E-08,2.02E-09,5.01E-09,1.48E-08,4.40E-09,4.15E-10,2.93E-07,8.82E-08,1.27E-07,1.27E-07,2.92E-09,2.55E-10,1.53E-08,4.64E-08,1.11E-09,2.43E-06
Gallbladder Wall,5.67E-07,2.54E-09,1.50E-07,5.28E-09,6.30E-04,2.79E-07,2.42E-07,1.90E-07,1.33E-06,3.23E-08,1.84E-07,1.85E-07,2.89E-07,1.92E-06,1.29E-07,3.43E-07,4.90E-08,6.63E-09,1.12E-07,4.46E-08,4.46E-08,8.97E-08,5.15E-09,7.66E-08,2.82E-08,3.04E-08,2.48E-06
LLI Wall,6.48E-07,2.19E-09,1.15E-07,3.44E-09,2.79E-07,4.79E-04,8.54E-07,5.32E-07,2.07E-07,2.57E-07,1.36E-07,1.36E-07,3.95E-07,1.33E-07,8.75E-08,1.86E-06,1.41E-07,3.53E-09,1.93E-07,7.48E-08,7.48E-08,4.41E-07,1.03E-08,4.67E-08,1.75E-08,8.54E-08,2.47E-06
Small Intestine,2.57E-07,9.15E-10,6.51E-08,1.64E-09,2.42E-07,8.54E-07,1.04E-04,2.30E-07,6.43E-07,3.93E-07,7.85E-08,7.90E-08,2.30E-07,1.26E-07,4.08E-08,1.02E-06,3.01E-07,2.70E-09,1.72E-07,5.55E-08,5.55E-08,1.37E-07,2.77E-08,2.73E-08,1.05E-08,2.23E-07,2.48E-06
Stomach Wall,4.77E-07,5.52E-09,8.97E-07,5.70E-09,1.80E-07,5.32E-07,1.50E-07,1.47E-04,5.16E-08,2.31E-08,6.06E-07,6.38E-07,1.98E-07,2.75E-07,5.62E-07,3.35E-06,2.52E-08,1.20E-08,8.17E-08,4.06E-08,4.06E-08,8.53E-07,2.45E-09,1.45E-07,6.02E-08,1.26E-08,2.46E-06
ULI Wall,2.91E-07,1.24E-09,7.41E-08,9.69E-10,1.33E-06,2.07E-07,4.18E-07,5.16E-08,2.42E-04,8.41E-08,1.08E-07,1.09E-07,2.65E-07,3.34E-07,5.62E-08,3.97E-07,1.27E-07,3.41E-09,1.45E-07,4.93E-08,4.93E-08,8.67E-08,1.11E-08,3.49E-08,5.57E-09,9.65E-08,2.47E-06
Rectum,4.74E-08,2.00E-10,1.03E-08,6.90E-10,3.23E-08,2.57E-07,3.93E-07,2.31E-08,8.41E-08,4.81E-04,1.07E-08,1.07E-08,8.40E-08,2.22E-08,7.19E-09,4.15E-08,1.52E-06,2.73E-10,1.93E-07,7.48E-08,7.48E-08,3.58E-08,1.17E-07,4.11E-09,1.67E-09,8.18E-07,2.47E-06
