,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,1.86E-03,1.88E-09,4.57E-08,3.61E-07,1.90E-09,9.14E-07,2.50E-07,2.23E-07,9.79E-07,1.48E-07,2.66E-08,1.92E-07,1.92E-07,1.89E-06,9.21E-07,1.80E-07,5.55E-08,1.04E-06,6.51E-09,2.57E-07,1.24E-07,1.24E-07,5.00E-06,7.59E-08,2.84E-08,2.07E-08,3.90E-08,5.50E-07
Brain,1.88E-09,2.08E-05,9.10E-09,2.17E-08,6.59E-07,7.66E-10,7.15E-10,2.74E-10,2.47E-09,4.01E-10,4.67E-11,8.09E-09,8.09E-09,9.33E-10,2.69E-09,1.67E-08,5.93E-11,1.30E-09,5.61E-07,1.12E-07,1.29E-07,1.29E-07,2.22E-09,1.86E-08,6.18E-08,2.30E-11,6.11E-11,4.99E-07
Breasts,4.57E-08,9.10E-09,5.03E-05,1.25E-07,2.32E-08,3.53E-08,1.85E-08,1.75E-08,9.29E-08,2.22E-08,1.78E-09,2.53E-07,2.53E-07,2.10E-08,9.69E-08,1.99E-07,2.38E-09,6.57E-08,3.24E-08,5.46E-08,3.54E-08,3.54E-08,3.84E-08,2.62E-07,1.04E-07,1.06E-09,3.26E-09,4.79E-07
Esophagus,3.61E-07,2.17E-08,1.25E-07,6.92E-04,2.07E-08,1.43E-07,6.42E-08,4.17E-08,3.55E-07,4.25E-08,2.40E-09,1.13E-06,1.21E-06,1.39E-07,4.34E-07,6.70E-07,1.12E-08,4.34E-07,9.59E-08,8.30E-08,7.86E-08,7.86E-08,2.56E-07,9.53E-07,1.83E-06,5.46E-09,9.86E-09,5.04E-07
Eyes,1.90E-09,7.05E-07,2.32E-08,2.07E-08,1.62E-03,5.97E-10,5.87E-10,4.40E-10,2.74E-09,1.92E-10,4.25E-10,1.09E-08,1.09E-08,1.05E-09,3.39E-09,1.62E-08,2.49E-10,1.85E-09,4.64E-07,1.12E-07,1.29E-07,1.29E-07,2.27E-09,2.29E-08,6.58E-08,2.32E-10,6.46E-10,4.99E-07
Gallbladder Wall,9.25E-07,7.66E-10,3.53E-08,1.43E-07,5.97E-10,2.66E-04,6.07E-07,6.05E-07,2.13E-07,8.64E-07,6.03E-08,7.94E-08,7.94E-08,9.75E-07,8.11E-07,7.62E-08,1.26E-07,9.24E-07,2.35E-09,9.20E-08,4.96E-08,4.96E-08,1.60E-07,4.07E-08,1.51E-08,5.57E-08,1.11E-07,5.58E-07
LLI Wall,2.50E-07,7.15E-10,1.85E-08,6.42E-08,5.87E-10,6.07E-07,1.54E-04,5.88E-07,5.36E-07,1.68E-07,2.29E-07,6.07E-07,6.07E-07,3.36E-07,1.25E-07,4.98E-08,2.37E-07,3.43E-07,8.73E-10,2.34E-07,8.14E-08,8.14E-08,6.40E-07,1.94E-08,6.62E-09,1.64E-07,2.92E-07,5.54E-07
Small Intestine,2.23E-07,4.01E-10,1.75E-08,6.13E-08,6.44E-10,6.05E-07,5.88E-07,4.52E-05,3.53E-07,5.78E-07,2.48E-07,5.16E-08,5.16E-08,3.38E-07,1.61E-07,3.74E-08,4.73E-07,7.81E-07,1.52E-09,1.95E-07,6.46E-08,6.46E-08,2.47E-07,1.74E-08,6.85E-09,2.79E-07,6.38E-07,5.44E-07
Stomach Wall,1.01E-06,2.47E-09,9.29E-08,3.26E-07,2.74E-09,2.18E-07,5.36E-07,3.33E-07,5.72E-05,6.02E-08,1.83E-08,4.00E-07,4.00E-07,3.16E-07,2.58E-07,2.94E-07,3.17E-08,1.35E-06,8.56E-09,8.06E-08,4.86E-08,4.86E-08,1.51E-06,8.92E-08,4.03E-08,1.43E-08,2.69E-08,5.41E-07
ULI Wall,1.48E-07,1.48E-07,2.22E-08,4.25E-08,1.92E-10,8.64E-07,1.68E-07,5.78E-07,6.02E-08,7.95E-05,8.30E-08,3.79E-08,3.79E-08,3.00E-07,2.49E-07,2.95E-08,2.21E-07,2.91E-07,1.14E-09,1.66E-07,5.45E-08,5.45E-08,8.52E-08,1.61E-08,7.38E-09,8.40E-08,1.61E-07,5.54E-07
