,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,1.73E-03,1.34E-09,2.43E-07,5.75E-10,5.67E-07,6.20E-07,2.59E-07,5.19E-07,2.78E-07,4.18E-08,1.66E-07,1.66E-07,2.50E-06,8.11E-07,1.34E-07,6.96E-07,5.76E-08,4.99E-09,2.21E-07,9.78E-08,9.78E-08,1.41E-06,2.73E-09,5.78E-08,2.75E-08,2.75E-08,4.50E-07
Brain,1.34E-09,1.87E-05,3.17E-08,5.12E-07,1.01E-09,1.01E-09,2.97E-10,3.20E-09,5.59E-10,6.13E-11,4.92E-09,4.92E-09,7.26E-10,2.15E-09,1.11E-08,1.57E-09,5.91E-11,5.08E-07,7.43E-08,1.08E-07,1.08E-07,1.83E-09,3.35E-12,1.05E-08,4.65E-08,2.00E-11,4.09E-07
Esophagus,2.48E-07,3.17E-08,6.06E-04,2.69E-08,1.46E-07,1.15E-07,5.86E-08,6.82E-07,7.14E-08,2.75E-09,7.98E-07,8.18E-07,1.07E-07,3.26E-07,5.64E-07,3.46E-07,7.40E-09,1.43E-07,6.86E-08,6.93E-08,6.93E-08,2.23E-07,4.93E-10,5.21E-07,1.51E-06,3.44E-09,4.30E-07
Eyes,5.75E-10,5.51E-07,2.69E-08,1.62E-03,2.22E-09,1.07E-09,5.40E-10,3.12E-09,2.65E-10,3.93E-10,6.56E-09,6.56E-09,9.59E-10,2.75E-09,9.15E-09,1.90E-09,2.33E-10,2.46E-07,7.43E-08,1.08E-07,1.08E-07,1.38E-09,3.98E-11,1.36E-08,3.30E-08,1.61E-11,4.09E-07
Gallbladder Wall,5.71E-07,1.01E-09,1.46E-07,2.22E-09,2.22E-04,2.70E-07,2.39E-07,1.90E-07,1.29E-06,2.73E-08,1.87E-07,1.87E-07,3.03E-07,1.26E-06,1.10E-07,3.51E-07,4.38E-08,3.52E-09,1.03E-07,4.02E-08,4.02E-08,8.21E-08,2.16E-09,7.11E-08,2.35E-08,2.07E-08,4.58E-07
LLI Wall,6.20E-07,1.01E-09,1.15E-07,1.07E-09,2.70E-07,1.65E-04,8.43E-07,5.28E-07,1.95E-07,2.49E-07,1.33E-07,1.33E-07,4.03E-07,1.21E-07,8.50E-08,1.25E-06,1.54E-07,2.21E-09,1.80E-07,6.63E-08,6.63E-08,4.47E-07,7.34E-09,3.56E-08,1.36E-08,7.94E-08,4.55E-07
Small Intestine,2.59E-07,2.97E-10,5.86E-08,8.30E-10,2.39E-07,8.43E-07,3.64E-05,2.28E-07,6.37E-07,3.90E-07,7.35E-08,7.35E-08,2.34E-07,1.22E-07,3.65E-08,6.96E-07,3.05E-07,1.18E-09,1.67E-07,5.19E-08,5.19E-08,1.33E-07,2.22E-08,2.16E-08,7.54E-09,2.24E-07,4.58E-07
Stomach Wall,4.84E-07,3.12E-09,6.95E-07,3.12E-09,1.81E-07,5.28E-07,1.48E-07,5.26E-05,4.86E-08,1.81E-08,6.10E-07,6.12E-07,1.99E-07,2.64E-07,3.68E-07,1.94E-06,1.97E-08,9.03E-09,7.50E-08,3.61E-08,3.61E-08,8.03E-07,1.34E-09,1.43E-07,5.86E-08,8.76E-09,4.43E-07
ULI Wall,2.78E-07,5.59E-10,7.14E-08,2.65E-10,1.29E-06,1.95E-07,4.14E-07,4.86E-08,8.49E-05,8.12E-08,1.03E-07,1.03E-07,2.71E-07,3.24E-07,5.19E-08,3.94E-07,1.30E-07,1.57E-09,1.41E-07,4.59E-08,4.59E-08,8.16E-08,1.15E-08,3.08E-08,5.14E-09,9.19E-08,4.54E-07
Rectum,4.18E-08,6.13E-11,8.06E-09,3.93E-10,2.73E-08,2.49E-07,3.90E-07,1.81E-08,8.12E-08,1.67E-04,6.77E-09,6.77E-09,7.94E-08,1.76E-08,4.50E-09,3.73E-08,1.58E-06,1.05E-10,1.80E-07,6.63E-08,6.63E-08,2.85E-08,1.17E-07,1.63E-09,1.14E-09,8.31E-07,4.55E-07
Heart Wall,1.53E-07,5.76E-09,7.36E-07,6.56E-09,1.81E-07,1.33E-07,7.35E-08,6.41E-07,1.03E-07,6.77E-09,2.67E-05,7.60E-05,7.29E-08,3.47E-07,5.58E-07,4.42E-07,8.24E-09,1.81E-08,9.85E-08,5.20E-08,5.20E-08,1.31E-07,5.39E-10,1.27E-06,1.54E-07,3.50E-09,4.44E-07
