,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,3.19E-03,3.45E-08,4.53E-07,2.67E-06,2.29E-08,6.46E-06,1.87E-06,1.54E-06,7.73E-06,1.23E-06,2.43E-07,1.42E-06,1.42E-06,1.40E-05,6.68E-06,1.68E-06,5.19E-07,7.94E-06,6.72E-08,2.17E-06,1.15E-06,1.15E-06,3.82E-05,5.57E-07,2.62E-07,2.07E-07,3.87E-07,1.85E-06
Brain,3.45E-08,4.89E-05,1.18E-07,2.24E-07,5.54E-06,1.77E-08,1.27E-08,5.61E-09,4.14E-08,1.01E-08,2.02E-09,1.06E-07,1.06E-07,1.83E-08,4.57E-08,1.99E-07,2.86E-09,2.13E-08,4.67E-06,9.93E-07,1.12E-06,1.12E-06,3.90E-08,2.18E-07,6.21E-07,1.26E-09,1.62E-09,1.45E-06
Breasts,4.53E-07,1.18E-07,9.85E-05,1.06E-06,2.57E-07,3.61E-07,1.88E-07,1.97E-07,8.19E-07,2.49E-07,2.84E-08,2.10E-06,2.10E-06,2.23E-07,8.53E-07,1.68E-06,3.83E-08,5.58E-07,3.26E-07,5.24E-07,3.41E-07,3.41E-07,3.80E-07,2.29E-06,1.01E-06,1.89E-08,4.61E-08,1.36E-06
Esophagus,2.67E-06,2.24E-07,1.06E-06,1.19E-03,2.43E-07,1.20E-06,5.36E-07,3.37E-07,2.61E-06,4.15E-07,3.06E-08,9.12E-06,9.40E-06,1.09E-06,3.32E-06,5.00E-06,1.22E-07,3.22E-06,8.46E-07,7.36E-07,7.39E-07,7.39E-07,1.98E-06,7.70E-06,1.46E-05,6.09E-08,1.06E-07,1.54E-06
Eyes,2.29E-08,5.88E-06,2.57E-07,2.43E-07,2.82E-03,1.96E-08,1.51E-08,8.68E-09,5.15E-08,6.99E-09,6.42E-09,1.37E-07,1.37E-07,2.00E-08,5.32E-08,1.83E-07,4.22E-09,2.64E-08,4.16E-06,9.93E-07,1.12E-06,1.12E-06,3.26E-08,2.83E-07,6.01E-07,4.46E-09,6.52E-09,1.45E-06
Gallbladder Wall,6.82E-06,1.77E-08,3.61E-07,1.20E-06,1.96E-08,5.40E-04,5.06E-06,4.61E-06,1.60E-06,6.62E-06,5.19E-07,6.09E-07,6.09E-07,7.23E-06,6.10E-06,6.50E-07,1.04E-06,6.59E-06,3.54E-08,8.91E-07,4.24E-07,4.24E-07,1.23E-06,3.01E-07,1.65E-07,4.57E-07,7.87E-07,1.82E-06
LLI Wall,1.87E-06,1.27E-08,1.88E-07,5.36E-07,1.51E-08,5.06E-06,2.77E-04,4.55E-06,4.28E-06,1.42E-06,1.88E-06,5.06E-06,5.06E-06,2.61E-06,1.00E-06,4.31E-07,1.79E-06,2.48E-06,1.88E-08,1.93E-06,7.13E-07,7.13E-07,5.00E-06,2.11E-07,6.60E-08,1.26E-06,2.15E-06,1.89E-06
Small Intestine,1.54E-06,8.23E-09,1.97E-07,4.94E-07,1.27E-08,4.61E-06,4.55E-06,8.71E-05,2.67E-06,4.46E-06,1.86E-06,4.30E-07,4.30E-07,2.54E-06,1.29E-06,3.28E-07,3.51E-06,5.89E-06,2.46E-08,1.60E-06,5.44E-07,5.44E-07,1.87E-06,1.77E-07,7.40E-08,2.14E-06,4.64E-06,1.76E-06
Stomach Wall,7.88E-06,4.14E-08,8.19E-07,2.39E-06,5.15E-08,1.58E-06,4.28E-06,2.50E-06,1.26E-04,5.07E-07,1.91E-07,2.92E-06,2.92E-06,2.42E-06,1.92E-06,2.19E-06,3.04E-07,1.02E-05,9.22E-08,7.01E-07,4.10E-07,4.10E-07,1.17E-05,7.25E-07,3.56E-07,1.70E-07,2.42E-07,1.81E-06
ULI Wall,1.23E-06,1.23E-06,2.50E-07,4.15E-07,6.99E-09,6.62E-06,1.42E-06,4.46E-06,5.07E-07,1.57E-04,7.28E-07,3.57E-07,3.57E-07,2.26E-06,1.96E-06,2.84E-07,1.72E-06,2.20E-06,1.61E-08,1.23E-06,4.63E-07,4.63E-07,7.19E-07,2.16E-07,1.01E-07,6.52E-07,1.29E-06,1.89E-06
Rectum,2.43E-07,2.02E-09,2.84E-08,3.06E-08,6.42E-09,5.19E-07,1.88E-06,1.85E-06,1.91E-07,7.28E-07,3.00E-04,5.57E-08,5.57E-08,4.92E-07,1.83E-07,4.97E-08,1.04E-05,3.30E-07,2.77E-09,1.93E-06,7.13E-07,7.13E-07,2.25E-07,2.50E-08,7.51E-09,1.45E-05,2.55E-05,1.89E-06
Heart Wall,1.42E-06,1.15E-07,2.42E-06,9.35E-06,1.37E-07,6.67E-07,6.03E-07,4.33E-07,2.94E-06,3.57E-07,5.57E-08,8.44E-05,1.86E-04,6.65E-07,1.80E-06,5.55E-06,8.88E-08,1.71E-06,3.03E-07,8.38E-07,5.30E-07,5.30E-07,1.53E-06,9.13E-06,1.72E-06,5.51E-08,8.03E-08,1.82E-06
Kidneys,1.41E-05,1.83E-08,2.49E-07,1.09E-06,2.00E-08,7.13E-06,2.61E-06,2.36E-06,2.39E-06,2.25E-06,4.61E-07,5.96E-07,5.96E-07,1.82E-04,3.63E-06,6.59E-07,8.29E-07,4.22E-06,4.21E-08,1.56E-06,6.74E-07,6.74E-07,9.04E-06,2.63E-07,1.57E-07,3.44E-07,6.45E-07,1.75E-06
Liver,6.97E-06,4.80E-08,8.53E-07,3.32E-06,5.32E-08,6.05E-06,1.00E-06,1.18E-06,1.93E-06,1.95E-06,1.83E-07,1.77E-06,1.77E-06,3.68E-06,4.53E-05,2.31E-06,3.25E-07,5.41E-06,1.12E-07,7.74E-07,5.08E-07,5.08E-07,1.04E-06,1.03E-06,4.48E-07,1.62E-07,2.80E-07,1.76E-06
