,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,2.97E-03,2.60E-08,1.77E-06,1.37E-08,4.33E-06,4.98E-06,1.94E-06,3.94E-06,2.24E-06,3.69E-07,1.09E-06,1.09E-06,1.87E-05,6.08E-06,1.04E-06,5.04E-06,5.49E-07,5.36E-08,1.90E-06,8.70E-07,8.70E-07,1.05E-05,4.97E-08,5.00E-07,2.84E-07,2.73E-07,1.50E-06
Brain,2.60E-08,4.44E-05,3.14E-07,4.41E-06,2.19E-08,1.86E-08,8.13E-09,4.75E-08,1.04E-08,1.72E-09,6.67E-08,6.67E-08,1.62E-08,3.86E-08,1.35E-07,2.66E-08,1.75E-09,4.24E-06,6.96E-07,9.96E-07,9.96E-07,3.14E-08,6.67E-10,1.33E-07,4.77E-07,1.31E-09,1.18E-06
Esophagus,1.93E-06,3.14E-07,1.05E-03,2.58E-07,1.14E-06,8.72E-07,5.06E-07,5.33E-06,5.61E-07,3.86E-08,6.36E-06,6.44E-06,8.49E-07,2.15E-06,4.38E-06,2.75E-06,1.09E-07,1.18E-06,6.17E-07,6.32E-07,6.32E-07,1.66E-06,1.79E-08,4.10E-06,1.21E-05,6.28E-08,1.35E-06
Eyes,1.37E-08,4.29E-06,2.58E-07,2.83E-03,4.60E-08,3.06E-08,8.98E-09,4.80E-08,8.34E-09,5.80E-09,9.81E-08,9.81E-08,1.70E-08,4.19E-08,1.21E-07,3.89E-08,3.39E-09,2.29E-06,6.96E-07,9.96E-07,9.96E-07,2.46E-08,2.38E-09,1.16E-07,3.71E-07,1.14E-08,1.18E-06
Gallbladder Wall,4.25E-06,2.19E-08,1.14E-06,4.60E-08,4.63E-04,2.12E-06,1.85E-06,1.44E-06,1.02E-05,2.54E-07,1.39E-06,1.39E-06,2.14E-06,9.68E-06,1.03E-06,2.58E-06,3.75E-07,5.71E-08,8.68E-07,3.48E-07,3.48E-07,6.93E-07,4.49E-08,5.90E-07,2.21E-07,2.51E-07,1.57E-06
Left colon,4.98E-06,1.86E-08,8.72E-07,3.06E-08,2.12E-06,2.95E-04,6.48E-06,4.05E-06,1.60E-06,1.96E-06,1.04E-06,1.04E-06,2.97E-06,9.47E-07,6.66E-07,9.39E-06,1.03E-06,2.87E-08,1.49E-06,5.85E-07,5.85E-07,3.32E-06,8.25E-08,3.77E-07,1.38E-07,6.57E-07,1.54E-06
Small Intestine,1.94E-06,8.13E-09,5.06E-07,1.38E-08,1.85E-06,6.48E-06,7.17E-05,1.76E-06,4.88E-06,2.99E-06,6.05E-07,6.05E-07,1.72E-06,9.60E-07,3.17E-07,5.12E-06,2.26E-06,2.31E-08,1.31E-06,4.27E-07,4.27E-07,1.05E-06,2.21E-07,2.17E-07,8.46E-08,1.69E-06,1.57E-06
Stomach Wall,3.59E-06,4.65E-08,5.38E-06,4.80E-08,1.36E-06,4.05E-06,1.14E-06,1.15E-04,3.99E-07,1.84E-07,4.58E-06,4.59E-06,1.50E-06,1.98E-06,2.71E-06,1.49E-05,2.00E-07,9.45E-08,6.32E-07,3.16E-07,3.16E-07,6.08E-06,2.01E-08,1.10E-06,4.54E-07,1.02E-07,1.48E-06
Right colon,2.24E-06,1.04E-08,5.61E-07,8.34E-09,1.02E-05,1.60E-06,3.18E-06,3.99E-07,1.68E-04,6.42E-07,8.34E-07,8.34E-07,1.98E-06,2.44E-06,4.31E-07,2.97E-06,9.52E-07,2.95E-08,1.11E-06,3.80E-07,3.80E-07,6.62E-07,8.29E-08,2.74E-07,4.21E-08,7.36E-07,1.54E-06
Rectum,3.69E-07,1.72E-09,8.06E-08,5.80E-09,2.54E-07,1.96E-06,2.99E-06,1.84E-07,6.42E-07,3.10E-04,8.79E-08,8.79E-08,6.46E-07,1.76E-07,5.90E-08,3.22E-07,1.13E-05,2.22E-09,1.49E-06,5.85E-07,5.85E-07,2.87E-07,8.72E-07,3.57E-08,1.34E-08,6.18E-06,1.54E-06
Heart Wall,1.15E-06,7.61E-08,5.69E-06,9.81E-08,1.41E-06,1.04E-06,6.05E-07,4.87E-06,8.34E-07,8.79E-08,6.37E-05,1.42E-04,6.08E-07,2.65E-06,4.20E-06,3.29E-06,1.06E-07,1.81E-07,8.38E-07,4.58E-07,4.58E-07,1.03E-06,1.14E-08,9.86E-06,1.21E-06,5.75E-08,1.46E-06
Kidneys,1.84E-05,1.67E-08,7.72E-07,1.70E-08,2.16E-06,2.97E-06,1.72E-06,1.55E-06,1.98E-06,6.45E-07,5.75E-07,5.75E-07,1.64E-04,2.83E-06,5.49E-07,2.20E-06,8.89E-07,4.12E-08,1.34E-06,5.06E-07,5.06E-07,6.10E-06,7.90E-08,2.47E-07,1.32E-07,3.64E-07,1.43E-06
Liver,5.75E-06,3.87E-08,2.09E-06,4.19E-08,9.07E-06,9.44E-07,9.60E-07,2.05E-06,2.43E-06,1.76E-07,2.64E-06,2.65E-06,2.84E-06,3.62E-05,2.03E-06,2.78E-06,2.68E-07,8.81E-08,6.96E-07,3.95E-07,3.95E-07,8.34E-07,2.86E-08,9.84E-07,3.97E-07,1.41E-07,1.43E-06
Lungs,9.85E-07,1.43E-07,3.71E-06,1.21E-07,8.29E-07,6.66E-07,3.17E-07,2.69E-06,4.31E-07,5.90E-08,3.95E-06,4.04E-06,5.22E-07,1.94E-06,3.90E-05,1.32E-06,7.59E-08,3.43E-07,8.85E-07,5.53E-07,5.53E-07,1.18E-06,8.49E-09,3.76E-06,2.69E-06,3.84E-08,1.31E-06
Pancreas,4.84E-06,2.66E-08,2.34E-06,3.89E-08,2.51E-06,9.22E-06,5.03E-06,1.53E-05,3.30E-06,3.22E-07,3.31E-06,3.31E-06,2.18E-06,2.81E-06,1.36E-06,3.55E-04,3.69E-07,5.13E-08,1.15E-06,5.22E-07,5.22E-07,3.53E-06,4.67E-08,8.37E-07,2.79E-07,1.95E-07,1.57E-06
Prostate,5.49E-07,1.75E-09,1.09E-07,3.39E-09,3.75E-07,1.03E-06,1.46E-06,2.00E-07,9.52E-07,1.12E-05,1.04E-07,1.04E-07,8.89E-07,2.68E-07,7.59E-08,3.69E-07,2.58E-03,1.61E-08,6.47E-07,3.16E-07,3.16E-07,2.85E-07,7.94E-07,5.40E-08,1.10E-08,9.07E-06,1.53E-06
Salivary Glands,5.37E-08,4.13E-06,1.18E-06,2.47E-06,5.00E-08,2.87E-08,1.50E-08,1.11E-07,2.95E-08,2.22E-09,1.56E-07,1.56E-07,4.12E-08,8.81E-08,3.43E-07,5.13E-08,5.13E-09,5.19E-04,6.17E-07,6.32E-07,6.32E-07,7.36E-08,6.60E-09,4.33E-07,1.69E-06,1.81E-09,1.35E-06
Red Marrow,1.09E-06,8.42E-07,1.68E-06,5.52E-07,5.81E-07,7.32E-07,6.41E-07,9.69E-07,5.94E-07,1.50E-06,9.94E-07,9.94E-07,9.87E-07,8.78E-07,1.53E-06,7.37E-07,2.06E-06,6.88E-07,1.97E-05,1.58E-06,1.00E-05,1.06E-06,2.64E-07,1.61E-06,1.31E-06,1.06E-06,1.24E-06
Osteogenic Cells,8.25E-07,1.53E-06,1.06E-06,1.88E-06,3.82E-07,4.84E-07,4.53E-07,6.22E-07,4.24E-07,6.42E-07,4.94E-07,4.94E-07,7.37E-07,5.11E-07,7.39E-07,5.35E-07,9.13E-07,1.64E-06,1.14E-05,1.59E-05,1.98E-05,6.95E-07,2.51E-07,5.87E-07,7.77E-07,5.54E-07,1.33E-06
