,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,3.67E-01,4.09E-10,6.05E-08,1.85E-10,1.38E-07,1.51E-07,6.26E-08,1.28E-07,6.74E-08,1.06E-08,4.05E-08,4.05E-08,5.75E-07,1.95E-07,3.24E-08,1.70E-07,1.54E-08,1.32E-09,5.61E-08,2.49E-08,2.49E-08,3.46E-07,8.16E-10,1.49E-08,7.27E-09,7.26E-09,7.05E-05
Brain,4.09E-10,3.55E-03,8.17E-09,1.29E-07,2.95E-10,3.00E-10,8.80E-11,8.92E-10,1.64E-10,2.05E-11,1.35E-09,1.35E-09,2.14E-10,6.36E-10,2.99E-09,4.41E-10,1.95E-11,1.27E-07,1.90E-08,2.76E-08,2.76E-08,5.45E-10,1.72E-12,2.86E-09,1.22E-08,7.34E-12,7.05E-05
Esophagus,6.06E-08,8.17E-09,1.29E-01,7.00E-09,3.58E-08,2.84E-08,1.45E-08,1.69E-07,1.79E-08,7.66E-10,1.99E-07,2.01E-07,2.70E-08,8.08E-08,1.39E-07,8.54E-08,2.08E-09,3.57E-08,1.73E-08,1.75E-08,1.75E-08,5.50E-08,1.68E-10,1.28E-07,3.77E-07,9.57E-10,7.05E-05
Eyes,1.85E-10,1.40E-07,7.00E-09,3.43E-01,6.51E-10,3.65E-10,1.49E-10,8.53E-10,9.18E-11,1.10E-10,1.79E-09,1.79E-09,2.93E-10,7.69E-10,2.51E-09,5.39E-10,6.28E-11,6.38E-08,1.90E-08,2.76E-08,2.76E-08,3.90E-10,1.59E-11,3.62E-09,9.29E-09,2.49E-11,7.05E-05
Gallbladder Wall,1.40E-07,2.95E-10,3.58E-08,6.51E-10,1.66E-05,6.76E-08,5.87E-08,4.67E-08,3.20E-07,6.96E-09,4.58E-08,4.59E-08,7.43E-08,3.06E-07,2.70E-08,8.46E-08,1.14E-08,9.38E-10,2.60E-08,1.02E-08,1.02E-08,2.06E-08,6.31E-10,1.80E-08,6.11E-09,5.53E-09,7.05E-05
LLI Wall,1.51E-07,3.00E-10,2.84E-08,3.65E-10,6.76E-08,1.07E-05,2.10E-07,1.30E-07,4.87E-08,6.20E-08,3.27E-08,3.27E-08,9.81E-08,2.98E-08,2.10E-08,3.03E-07,3.74E-08,6.05E-10,4.52E-08,1.69E-08,1.69E-08,1.09E-07,1.99E-09,9.42E-09,3.68E-09,2.02E-08,7.05E-05
Small Intestine,6.26E-08,8.80E-11,1.45E-08,2.30E-10,5.87E-08,2.10E-07,2.57E-06,5.58E-08,1.57E-07,9.65E-08,1.83E-08,1.83E-08,5.79E-08,3.03E-08,9.09E-09,1.69E-07,7.39E-08,3.55E-10,4.16E-08,1.30E-08,1.30E-08,3.25E-08,5.70E-09,5.60E-09,2.00E-09,5.52E-08,7.05E-05
Stomach Wall,1.18E-07,8.43E-10,1.70E-07,8.53E-10,4.46E-08,1.30E-07,3.63E-08,4.07E-06,1.20E-08,4.76E-09,1.50E-07,1.50E-07,4.88E-08,6.44E-08,8.91E-08,4.70E-07,5.20E-09,2.42E-09,1.90E-08,9.25E-09,9.25E-09,1.97E-07,3.82E-10,3.49E-08,1.45E-08,2.36E-09,7.05E-05
ULI Wall,6.74E-08,1.64E-10,1.79E-08,9.18E-11,3.20E-07,4.87E-08,1.02E-07,1.20E-08,6.05E-06,2.05E-08,2.55E-08,2.55E-08,6.57E-08,7.92E-08,1.29E-08,9.80E-08,3.23E-08,4.57E-10,3.53E-08,1.16E-08,1.16E-08,2.03E-08,2.92E-09,7.58E-09,1.24E-09,2.32E-08,7.05E-05
Rectum,1.06E-08,2.05E-11,2.16E-09,1.10E-10,6.96E-09,6.20E-08,9.65E-08,4.76E-09,2.05E-08,1.13E-05,1.86E-09,1.86E-09,1.96E-08,4.64E-09,1.23E-09,9.36E-09,3.86E-07,3.32E-11,4.52E-08,1.69E-08,1.69E-08,7.33E-09,2.94E-08,4.71E-10,2.96E-10,2.03E-07,7.05E-05
Heart Wall,3.75E-08,1.55E-09,1.80E-07,1.79E-09,4.42E-08,3.27E-08,1.83E-08,1.58E-07,2.55E-08,1.86E-09,5.04E-03,1.56E-02,1.83E-08,8.50E-08,1.34E-07,1.08E-07,2.22E-09,4.74E-09,2.48E-08,1.31E-08,1.31E-08,3.22E-08,1.60E-10,3.03E-07,3.72E-08,9.73E-10,7.05E-05
Kidneys,5.66E-07,2.70E-10,2.47E-08,2.93E-10,7.15E-08,9.81E-08,5.79E-08,5.10E-08,6.57E-08,1.96E-08,1.86E-08,1.86E-08,1.66E-02,9.26E-08,1.70E-08,7.27E-08,2.75E-08,6.17E-10,3.93E-08,1.45E-08,1.45E-08,1.96E-07,1.67E-09,6.95E-09,3.33E-09,1.03E-08,7.05E-05
Liver,1.85E-07,7.35E-10,6.83E-08,7.69E-10,2.92E-07,2.98E-08,3.03E-08,6.72E-08,7.92E-08,4.64E-09,8.53E-08,8.54E-08,9.18E-08,2.86E-03,6.41E-08,9.07E-08,7.31E-09,1.94E-09,2.05E-08,1.12E-08,1.12E-08,2.59E-08,5.28E-10,3.12E-08,1.18E-08,3.42E-09,7.05E-05
Lungs,3.17E-08,3.00E-09,1.23E-07,2.51E-09,2.64E-08,2.10E-08,9.09E-09,8.82E-08,1.29E-08,1.23E-09,1.29E-07,1.31E-07,1.60E-08,6.28E-08,4.29E-03,4.38E-08,1.59E-09,9.37E-09,2.51E-08,1.52E-08,1.52E-08,3.76E-08,1.06E-10,1.22E-07,8.83E-08,7.21E-10,7.05E-05
Pancreas,1.63E-07,4.41E-10,7.58E-08,5.39E-10,8.64E-08,2.99E-07,1.67E-07,4.94E-07,1.06E-07,9.36E-09,1.09E-07,1.09E-07,7.32E-08,9.29E-08,4.55E-08,3.67E-02,1.05E-08,1.23E-09,3.40E-08,1.49E-08,1.49E-08,1.18E-07,8.22E-10,2.65E-08,8.08E-09,4.73E-09,7.05E-05
Prostate,1.54E-08,1.95E-11,2.08E-09,6.28E-11,1.14E-08,3.74E-08,4.79E-08,5.20E-09,3.23E-08,3.86E-07,2.20E-09,2.20E-09,2.75E-08,7.31E-09,1.59E-09,1.05E-08,3.03E-01,2.39E-10,2.04E-08,9.23E-09,9.23E-09,8.85E-09,2.36E-08,7.38E-10,4.99E-10,2.83E-07,7.05E-05
Salivary Glands,1.32E-09,1.25E-07,3.57E-08,6.64E-08,8.40E-10,6.05E-10,2.31E-10,2.64E-09,4.57E-10,3.36E-11,4.65E-09,4.65E-09,6.17E-10,1.94E-09,9.37E-09,1.23E-09,2.89E-11,6.05E-02,1.73E-08,1.75E-08,1.75E-08,1.69E-09,4.33E-11,1.04E-08,4.77E-08,3.28E-11,7.05E-05
Red Marrow,3.22E-08,2.42E-08,5.07E-08,1.47E-08,1.64E-08,2.10E-08,1.85E-08,2.87E-08,1.70E-08,4.64E-08,3.01E-08,3.01E-08,2.87E-08,2.61E-08,4.58E-08,2.15E-08,6.43E-08,1.90E-08,4.40E-03,4.74E-08,2.20E-03,3.10E-08,7.27E-09,4.85E-08,3.90E-08,3.29E-08,1.04E-04
Osteogenic Cells,4.18E-08,7.00E-08,5.09E-08,7.71E-08,1.93E-08,2.49E-08,2.31E-08,3.18E-08,2.16E-08,3.44E-08,2.57E-08,2.57E-08,3.69E-08,2.58E-08,3.60E-08,2.79E-08,4.81E-08,7.23E-08,3.86E-03,9.78E-03,9.52E-03,3.45E-08,1.26E-08,2.88E-08,3.76E-08,2.92E-08,7.94E-04
Spleen,3.27E-07,5.45E-10,4.77E-08,3.90E-10,2.01E-08,1.09E-07,3.25E-08,2.00E-07,2.03E-08,7.33E-09,3.13E-08,3.13E-08,1.88E-07,2.49E-08,3.70E-08,1.12E-07,8.66E-09,1.39E-09,2.06E-08,1.13E-08,1.13E-08,3.43E-02,5.09E-10,1.29E-08,8.67E-09,3.15E-09,7.05E-05
Testes,8.16E-10,1.72E-12,1.57E-10,1.59E-11,6.31E-10,1.99E-09,3.69E-09,3.82E-10,2.92E-09,2.94E-08,1.77E-10,1.77E-10,1.67E-09,5.28E-10,1.06E-10,8.22E-10,2.33E-08,4.33E-11,7.37E-09,9.69E-09,9.69E-09,5.09E-10,1.47E-01,2.23E-10,9.33E-11,6.33E-08,7.05E-05
Thymus,1.16E-08,2.86E-09,1.10E-07,2.78E-09,1.59E-08,9.42E-09,3.64E-09,3.51E-08,7.58E-09,4.71E-10,2.78E-07,2.85E-07,6.84E-09,3.22E-08,1.19E-07,2.36E-08,7.38E-10,1.13E-08,1.96E-08,1.12E-08,1.12E-08,1.38E-08,2.23E-10,2.06E-01,1.63E-07,4.69E-10,7.05E-05
Thyroid,7.27E-09,1.22E-08,3.38E-07,9.29E-09,6.11E-09,3.68E-09,1.30E-09,1.45E-08,1.24E-09,1.85E-10,3.62E-08,3.62E-08,3.33E-09,1.18E-08,9.41E-08,8.08E-09,1.33E-10,5.04E-08,1.73E-08,1.75E-08,1.75E-08,8.67E-09,9.33E-11,1.77E-07,2.57E-01,2.09E-10,7.05E-05
