,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,7.99E-03,3.35E-08,4.35E-07,2.56E-06,2.21E-08,6.20E-06,1.78E-06,1.48E-06,7.39E-06,1.17E-06,2.34E-07,1.36E-06,1.36E-06,2.21E-05,9.10E-06,1.61E-06,4.98E-07,7.59E-06,6.59E-08,2.07E-06,1.10E-06,1.10E-06,9.43E-05,5.31E-07,2.51E-07,2.01E-07,3.69E-07,3.13E-06
Brain,3.36E-08,1.07E-04,1.14E-07,2.16E-07,5.31E-06,1.74E-08,1.27E-08,5.60E-09,4.05E-08,9.97E-09,2.03E-09,1.03E-07,1.03E-07,1.82E-08,4.44E-08,1.92E-07,2.87E-09,2.08E-08,4.47E-06,9.50E-07,1.07E-06,1.07E-06,3.78E-08,2.10E-07,5.97E-07,1.29E-09,1.68E-09,2.74E-06
Breasts,4.35E-07,1.14E-07,2.40E-04,1.02E-06,2.47E-07,3.47E-07,1.82E-07,1.90E-07,7.86E-07,2.41E-07,2.80E-08,2.01E-06,2.01E-06,2.15E-07,8.18E-07,1.60E-06,3.74E-08,5.35E-07,3.13E-07,5.03E-07,3.27E-07,3.27E-07,3.64E-07,2.20E-06,9.62E-07,1.90E-08,4.52E-08,2.65E-06
Esophagus,2.56E-06,2.16E-07,1.02E-06,2.97E-03,2.32E-07,1.14E-06,5.11E-07,3.23E-07,2.50E-06,3.96E-07,3.00E-08,8.71E-06,1.23E-05,1.05E-06,3.18E-06,4.79E-06,1.17E-07,3.09E-06,8.15E-07,7.05E-07,7.08E-07,7.08E-07,1.89E-06,7.38E-06,1.46E-05,5.87E-08,1.02E-07,2.83E-06
Eyes,2.21E-08,5.63E-06,2.49E-07,2.32E-07,7.16E-03,1.90E-08,1.48E-08,8.65E-09,4.99E-08,7.15E-09,6.26E-09,1.32E-07,1.32E-07,1.94E-08,5.18E-08,1.77E-07,4.15E-09,2.60E-08,3.98E-06,9.50E-07,1.07E-06,1.07E-06,3.20E-08,2.73E-07,5.85E-07,4.40E-09,6.31E-09,2.74E-06
Gallbladder Wall,6.53E-06,1.74E-08,3.47E-07,1.15E-06,1.90E-08,1.36E-03,4.84E-06,4.40E-06,1.53E-06,6.33E-06,4.97E-07,5.86E-07,5.87E-07,6.93E-06,5.86E-06,6.22E-07,9.97E-07,6.31E-06,3.41E-08,8.51E-07,4.05E-07,4.05E-07,1.18E-06,2.90E-07,1.58E-07,4.40E-07,7.56E-07,3.09E-06
LLI Wall,1.79E-06,1.27E-08,1.82E-07,5.12E-07,1.48E-08,4.84E-06,7.72E-04,4.35E-06,4.09E-06,1.36E-06,1.80E-06,4.84E-06,4.84E-06,2.50E-06,9.60E-07,4.13E-07,1.71E-06,2.37E-06,1.86E-08,1.84E-06,6.81E-07,6.81E-07,4.80E-06,2.04E-07,6.41E-08,1.21E-06,2.06E-06,3.16E-06
Small Intestine,1.48E-06,8.22E-09,1.91E-07,4.75E-07,1.27E-08,4.40E-06,4.35E-06,2.28E-04,2.55E-06,4.26E-06,1.78E-06,4.13E-07,4.13E-07,2.44E-06,1.23E-06,3.16E-07,3.36E-06,6.88E-06,2.40E-08,1.52E-06,5.20E-07,5.20E-07,1.79E-06,1.70E-07,7.16E-08,2.04E-06,5.13E-06,3.03E-06
Stomach Wall,8.06E-06,4.05E-08,7.88E-07,2.29E-06,4.99E-08,1.51E-06,4.09E-06,2.39E-06,2.97E-04,4.86E-07,1.84E-07,2.79E-06,2.80E-06,2.31E-06,1.92E-06,2.58E-06,2.92E-07,1.11E-05,8.93E-08,6.71E-07,3.92E-07,3.92E-07,1.44E-05,6.95E-07,3.41E-07,1.63E-07,2.35E-07,3.08E-06
ULI Wall,1.18E-06,1.17E-06,2.41E-07,3.97E-07,7.15E-09,6.33E-06,1.36E-06,4.26E-06,4.86E-07,4.04E-04,6.95E-07,3.43E-07,3.44E-07,2.38E-06,2.05E-06,2.73E-07,1.65E-06,2.10E-06,1.58E-08,1.17E-06,4.43E-07,4.43E-07,6.90E-07,2.06E-07,9.81E-08,6.27E-07,1.23E-06,3.16E-06
Rectum,2.34E-07,2.03E-09,2.80E-08,3.00E-08,6.26E-09,4.97E-07,1.80E-06,1.77E-06,1.84E-07,6.95E-07,7.95E-04,5.44E-08,5.44E-08,4.72E-07,1.76E-07,4.82E-08,1.00E-05,3.16E-07,2.71E-09,1.84E-06,6.81E-07,6.81E-07,2.18E-07,2.44E-08,7.34E-09,1.39E-05,3.95E-05,3.16E-06
Heart Wall,1.36E-06,1.12E-07,2.32E-06,1.18E-05,1.32E-07,6.38E-07,5.77E-07,4.14E-07,2.81E-06,3.43E-07,5.44E-08,1.90E-04,4.88E-04,6.38E-07,1.72E-06,7.07E-06,8.63E-08,1.63E-06,2.92E-07,8.02E-07,5.07E-07,5.07E-07,1.47E-06,1.20E-05,1.65E-06,5.35E-08,7.79E-08,3.09E-06
Kidneys,2.25E-05,1.82E-08,2.41E-07,1.05E-06,1.94E-08,6.81E-06,2.49E-06,2.25E-06,2.28E-06,2.15E-06,4.43E-07,5.72E-07,5.74E-07,4.45E-04,3.82E-06,6.30E-07,7.95E-07,4.03E-06,4.10E-08,1.49E-06,6.44E-07,6.44E-07,1.21E-05,2.54E-07,1.50E-07,3.31E-07,6.18E-07,3.03E-06
Liver,9.19E-06,4.68E-08,8.19E-07,3.18E-06,5.18E-08,5.78E-06,9.59E-07,1.13E-06,1.84E-06,1.86E-06,1.76E-07,1.69E-06,1.70E-06,3.87E-06,9.91E-05,2.97E-06,3.12E-07,6.19E-06,1.08E-07,7.41E-07,4.85E-07,4.85E-07,9.93E-07,9.82E-07,4.29E-07,1.56E-07,2.69E-07,3.04E-06
Lungs,1.33E-06,1.83E-07,1.61E-06,4.79E-06,1.77E-07,5.92E-07,4.12E-07,2.83E-07,2.05E-06,2.73E-07,4.82E-08,4.94E-06,6.73E-06,5.94E-07,2.86E-06,1.20E-04,7.80E-08,1.10E-06,4.74E-07,9.46E-07,6.65E-07,6.65E-07,1.27E-06,9.46E-06,3.01E-06,3.87E-08,6.72E-08,2.92E-06
Ovaries,4.96E-07,2.87E-09,3.74E-08,1.17E-07,4.15E-09,9.95E-07,1.71E-06,3.35E-06,2.92E-07,1.65E-06,9.97E-06,8.62E-08,8.66E-08,7.95E-07,3.12E-07,7.79E-08,9.65E-03,5.15E-07,4.32E-09,1.77E-06,5.83E-07,5.83E-07,3.82E-07,4.00E-08,1.48E-08,6.03E-06,2.21E-05,3.18E-06
Pancreas,7.08E-06,2.08E-08,5.36E-07,3.08E-06,2.60E-08,6.32E-06,2.37E-06,4.94E-06,9.29E-06,2.10E-06,3.16E-07,1.49E-06,1.50E-06,3.97E-06,6.11E-06,1.14E-06,5.16E-07,1.01E-03,5.28E-08,1.10E-06,5.83E-07,5.83E-07,5.42E-06,4.91E-07,2.18E-07,2.87E-07,4.60E-07,3.19E-06
Salivary Glands,6.60E-08,4.36E-06,3.14E-07,8.14E-07,3.98E-06,3.41E-08,1.86E-08,2.40E-08,8.91E-08,1.58E-08,2.71E-09,2.99E-07,2.99E-07,4.10E-08,1.08E-07,4.86E-07,4.32E-09,5.28E-08,1.57E-03,7.05E-07,7.08E-07,7.08E-07,7.92E-08,6.34E-07,2.27E-06,1.19E-08,1.85E-09,2.83E-06
