,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,7.48E-03,2.54E-08,1.70E-06,1.37E-08,4.14E-06,4.74E-06,1.85E-06,3.75E-06,2.14E-06,3.54E-07,1.05E-06,1.05E-06,3.44E-05,7.89E-06,1.00E-06,4.81E-06,5.25E-07,5.20E-08,1.81E-06,8.31E-07,8.31E-07,1.01E-05,4.75E-08,4.83E-07,2.72E-07,2.61E-07,2.54E-06
Brain,2.54E-08,9.65E-05,3.02E-07,4.23E-06,2.14E-08,1.83E-08,8.01E-09,4.61E-08,1.04E-08,1.75E-09,6.48E-08,6.49E-08,1.60E-08,3.76E-08,1.31E-07,2.60E-08,1.78E-09,4.06E-06,6.66E-07,9.53E-07,9.53E-07,3.08E-08,1.08E-09,1.29E-07,4.59E-07,1.31E-09,2.24E-06
Esophagus,1.84E-06,3.02E-07,2.64E-03,2.51E-07,1.10E-06,8.29E-07,4.84E-07,5.09E-06,5.38E-07,3.71E-08,6.07E-06,7.16E-06,8.13E-07,2.07E-06,4.19E-06,2.62E-06,1.06E-07,1.14E-06,5.89E-07,6.04E-07,6.04E-07,1.59E-06,1.73E-08,3.92E-06,1.16E-05,6.02E-08,2.41E-06
Eyes,1.37E-08,4.11E-06,2.51E-07,7.21E-03,4.48E-08,2.98E-08,8.90E-09,4.69E-08,8.53E-09,5.62E-09,9.50E-08,9.50E-08,1.67E-08,4.10E-08,1.17E-07,3.73E-08,3.41E-09,2.20E-06,6.66E-07,9.53E-07,9.53E-07,2.45E-08,2.31E-09,1.14E-07,3.59E-07,1.05E-08,2.24E-06
Gallbladder Wall,4.07E-06,2.15E-08,1.10E-06,4.48E-08,1.14E-03,2.03E-06,1.76E-06,1.38E-06,9.72E-06,2.45E-07,1.33E-06,1.33E-06,2.05E-06,1.14E-05,9.81E-07,2.46E-06,3.63E-07,5.51E-08,8.27E-07,3.32E-07,3.32E-07,6.65E-07,4.38E-08,5.67E-07,2.12E-07,2.41E-07,2.62E-06
LLI Wall,4.75E-06,1.83E-08,8.31E-07,2.98E-08,2.03E-06,8.23E-04,6.19E-06,3.86E-06,1.53E-06,1.87E-06,9.91E-07,9.93E-07,2.84E-06,9.52E-07,6.37E-07,1.09E-05,9.91E-07,2.83E-08,1.42E-06,5.58E-07,5.58E-07,3.18E-06,8.02E-08,3.60E-07,1.33E-07,6.29E-07,2.59E-06
Small Intestine,1.85E-06,8.01E-09,4.85E-07,1.37E-08,1.76E-06,6.19E-06,1.85E-04,1.68E-06,4.66E-06,2.85E-06,5.79E-07,5.81E-07,1.65E-06,9.21E-07,3.05E-07,5.94E-06,2.16E-06,2.25E-08,1.25E-06,4.09E-07,4.09E-07,1.00E-06,2.13E-07,2.09E-07,8.16E-08,1.62E-06,2.62E-06
Stomach Wall,3.43E-06,4.53E-08,5.77E-06,4.69E-08,1.30E-06,3.86E-06,1.09E-06,2.72E-04,3.81E-07,1.77E-07,4.38E-06,4.51E-06,1.44E-06,1.94E-06,3.22E-06,1.88E-05,1.93E-07,9.18E-08,6.04E-07,3.03E-07,3.03E-07,6.01E-06,2.01E-08,1.06E-06,4.36E-07,9.92E-08,2.53E-06
ULI Wall,2.14E-06,1.04E-08,5.39E-07,8.53E-09,9.72E-06,1.53E-06,3.03E-06,3.81E-07,4.31E-04,6.13E-07,7.99E-07,8.00E-07,1.90E-06,2.37E-06,4.15E-07,2.85E-06,9.14E-07,2.87E-08,1.06E-06,3.63E-07,3.63E-07,6.36E-07,7.87E-08,2.64E-07,4.09E-08,7.07E-07,2.59E-06
Rectum,3.55E-07,1.75E-09,7.87E-08,5.62E-09,2.45E-07,1.87E-06,2.85E-06,1.77E-07,6.13E-07,8.38E-04,8.50E-08,8.51E-08,6.19E-07,1.70E-07,5.76E-08,3.09E-07,1.08E-05,2.34E-09,1.42E-06,5.58E-07,5.58E-07,2.76E-07,8.41E-07,3.43E-08,1.33E-08,5.90E-06,2.59E-06
Heart Wall,1.11E-06,7.34E-08,6.31E-06,9.50E-08,1.35E-06,9.91E-07,5.79E-07,4.65E-06,7.99E-07,8.50E-08,1.40E-04,3.72E-04,5.84E-07,2.60E-06,5.08E-06,3.15E-06,1.02E-07,1.75E-07,8.01E-07,4.38E-07,4.38E-07,9.83E-07,1.15E-08,1.39E-05,1.16E-06,5.57E-08,2.51E-06
Kidneys,3.38E-05,1.64E-08,7.40E-07,1.67E-08,2.07E-06,2.84E-06,1.64E-06,1.48E-06,1.89E-06,6.18E-07,5.50E-07,5.52E-07,3.99E-04,2.87E-06,5.26E-07,2.10E-06,8.52E-07,3.99E-08,1.28E-06,4.84E-07,4.84E-07,6.98E-06,7.67E-08,2.38E-07,1.28E-07,3.49E-07,2.48E-06
Liver,7.46E-06,3.75E-08,2.00E-06,4.10E-08,8.66E-06,9.04E-07,9.19E-07,1.96E-06,2.33E-06,1.70E-07,2.52E-06,2.61E-06,2.90E-06,7.80E-05,2.42E-06,2.67E-06,2.58E-07,8.51E-08,6.65E-07,3.78E-07,3.78E-07,7.99E-07,2.81E-08,9.42E-07,3.81E-07,1.36E-07,2.48E-06
Lungs,9.43E-07,1.38E-07,3.55E-06,1.17E-07,7.94E-07,6.36E-07,3.04E-07,2.57E-06,4.13E-07,5.75E-08,3.77E-06,4.88E-06,5.01E-07,2.30E-06,9.73E-05,1.26E-06,7.34E-08,3.30E-07,8.45E-07,5.29E-07,5.29E-07,1.16E-06,8.52E-09,3.60E-06,2.57E-06,3.74E-08,2.36E-06
Pancreas,4.63E-06,2.60E-08,2.24E-06,3.73E-08,2.40E-06,8.80E-06,4.81E-06,1.46E-05,3.15E-06,3.09E-07,3.16E-06,3.17E-06,2.09E-06,2.70E-06,1.30E-06,8.72E-04,3.53E-07,5.04E-08,1.10E-06,4.98E-07,4.98E-07,3.37E-06,4.52E-08,8.02E-07,2.68E-07,1.88E-07,2.62E-06
Prostate,5.25E-07,1.78E-09,1.06E-07,3.41E-09,3.61E-07,9.89E-07,1.40E-06,1.93E-07,9.11E-07,1.08E-05,1.00E-07,1.00E-07,8.51E-07,2.58E-07,7.33E-08,3.53E-07,6.61E-03,1.57E-08,6.17E-07,3.02E-07,3.02E-07,2.76E-07,7.59E-07,5.29E-08,1.13E-08,8.65E-06,2.57E-06
Salivary Glands,5.29E-08,3.96E-06,1.14E-06,2.36E-06,4.83E-08,2.83E-08,1.46E-08,1.06E-07,2.87E-08,2.34E-09,1.51E-07,1.51E-07,3.99E-08,8.49E-08,3.30E-07,5.03E-08,5.02E-09,1.30E-03,5.89E-07,6.04E-07,6.04E-07,7.16E-08,6.34E-09,4.16E-07,1.62E-06,1.86E-09,2.41E-06
Red Marrow,1.05E-06,8.05E-07,1.60E-06,5.29E-07,5.56E-07,7.00E-07,6.13E-07,9.26E-07,5.68E-07,1.44E-06,9.50E-07,9.50E-07,9.44E-07,8.41E-07,1.46E-06,7.06E-07,1.96E-06,6.59E-07,4.81E-05,1.51E-06,3.05E-05,1.02E-06,2.54E-07,1.54E-06,1.25E-06,1.01E-06,1.97E-06
Osteogenic Cells,7.86E-07,1.46E-06,1.01E-06,1.80E-06,3.64E-07,4.61E-07,4.31E-07,5.92E-07,4.04E-07,6.11E-07,4.71E-07,4.71E-07,7.01E-07,4.87E-07,7.04E-07,5.09E-07,8.69E-07,1.57E-06,3.11E-05,3.15E-05,3.55E-05,6.62E-07,2.39E-07,5.60E-07,7.41E-07,5.27E-07,1.85E-06
Spleen,9.86E-06,3.08E-08,1.44E-06,2.45E-08,6.03E-07,3.17E-06,1.00E-06,5.95E-06,6.34E-07,2.75E-07,9.45E-07,9.47E-07,6.74E-06,7.70E-07,1.19E-06,3.25E-06,3.05E-07,6.80E-08,6.95E-07,3.79E-07,3.79E-07,8.10E-04,3.03E-08,4.06E-07,3.02E-07,1.26E-07,2.48E-06
