,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,2.37E-03,4.67E-08,4.93E-07,2.81E-06,2.74E-08,7.14E-06,1.98E-06,1.68E-06,8.34E-06,1.26E-06,2.83E-07,1.49E-06,1.49E-06,1.68E-05,7.69E-06,1.67E-06,5.34E-07,8.28E-06,8.63E-08,2.30E-06,1.19E-06,1.19E-06,5.30E-05,5.95E-07,2.95E-07,2.51E-07,4.03E-07,1.82E-06
Brain,4.67E-08,4.41E-05,1.46E-07,2.61E-07,5.86E-06,2.62E-08,2.19E-08,1.00E-08,5.64E-08,1.72E-08,4.34E-09,1.34E-07,1.34E-07,2.97E-08,6.06E-08,2.30E-07,5.97E-09,3.01E-08,4.89E-06,1.06E-06,1.23E-06,1.23E-06,5.14E-08,2.61E-07,6.94E-07,3.07E-09,4.59E-09,1.40E-06
Breasts,4.93E-07,1.46E-07,8.17E-05,1.15E-06,2.92E-07,4.15E-07,2.26E-07,2.38E-07,8.97E-07,2.99E-07,4.09E-08,2.25E-06,2.25E-06,2.62E-07,9.28E-07,1.78E-06,5.54E-08,6.21E-07,3.64E-07,5.80E-07,3.84E-07,3.84E-07,4.17E-07,2.43E-06,1.08E-06,3.41E-08,6.63E-08,1.31E-06
Esophagus,2.81E-06,2.61E-07,1.15E-06,8.84E-04,2.61E-07,1.25E-06,5.48E-07,3.65E-07,2.73E-06,4.33E-07,4.14E-08,9.75E-06,1.07E-05,1.15E-06,3.46E-06,5.32E-06,1.44E-07,3.39E-06,9.33E-07,7.98E-07,7.99E-07,7.99E-07,2.02E-06,8.12E-06,1.63E-05,7.18E-08,1.26E-07,1.49E-06
Eyes,2.74E-08,6.23E-06,2.92E-07,2.61E-07,2.15E-03,2.77E-08,2.30E-08,1.54E-08,6.38E-08,1.75E-08,9.13E-09,1.63E-07,1.63E-07,2.84E-08,7.02E-08,2.18E-07,6.37E-09,4.14E-08,4.35E-06,1.06E-06,1.23E-06,1.23E-06,4.83E-08,3.23E-07,8.00E-07,7.01E-09,8.30E-09,1.40E-06
Gallbladder Wall,7.28E-06,2.62E-08,4.15E-07,1.25E-06,2.77E-08,4.73E-04,5.55E-06,4.79E-06,1.69E-06,7.12E-06,5.69E-07,6.83E-07,6.83E-07,7.60E-06,6.40E-06,6.57E-07,1.08E-06,6.91E-06,4.39E-08,9.13E-07,4.45E-07,4.45E-07,1.29E-06,3.34E-07,1.80E-07,5.27E-07,8.65E-07,1.76E-06
LLI Wall,1.98E-06,2.19E-08,2.26E-07,5.48E-07,2.30E-08,5.55E-06,2.32E-04,4.79E-06,4.52E-06,1.53E-06,1.99E-06,5.55E-06,5.55E-06,2.75E-06,1.07E-06,4.66E-07,1.90E-06,2.60E-06,2.85E-08,2.01E-06,7.49E-07,7.49E-07,5.36E-06,2.49E-07,8.51E-08,1.36E-06,2.27E-06,1.85E-06
Small Intestine,1.68E-06,1.47E-08,2.38E-07,5.35E-07,2.26E-08,4.79E-06,4.79E-06,7.50E-05,2.82E-06,4.71E-06,1.93E-06,4.78E-07,4.78E-07,2.65E-06,1.35E-06,3.70E-07,3.66E-06,6.49E-06,3.52E-08,1.65E-06,5.71E-07,5.71E-07,1.97E-06,2.00E-07,9.31E-08,2.27E-06,5.04E-06,1.72E-06
Stomach Wall,8.49E-06,5.64E-08,8.98E-07,2.50E-06,6.38E-08,1.66E-06,4.52E-06,2.63E-06,1.13E-04,5.51E-07,2.23E-07,3.04E-06,3.04E-06,2.53E-06,2.03E-06,2.44E-06,3.40E-07,1.11E-05,1.14E-07,7.53E-07,4.41E-07,4.41E-07,1.31E-05,7.70E-07,3.83E-07,1.99E-07,2.92E-07,1.77E-06
ULI Wall,1.26E-06,1.26E-06,2.99E-07,4.33E-07,1.75E-08,7.12E-06,1.53E-06,4.71E-06,5.51E-07,1.36E-04,7.80E-07,3.96E-07,3.96E-07,2.44E-06,2.12E-06,3.20E-07,1.83E-06,2.31E-06,2.29E-08,1.30E-06,4.94E-07,4.94E-07,7.76E-07,2.26E-07,1.31E-07,7.48E-07,1.35E-06,1.86E-06
