,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,2.26E-03,8.29E-09,7.28E-07,4.32E-09,1.72E-06,1.92E-06,7.69E-07,1.57E-06,8.63E-07,1.42E-07,4.68E-07,4.68E-07,7.54E-06,2.46E-06,4.09E-07,2.04E-06,2.09E-07,1.96E-08,7.32E-07,3.31E-07,3.31E-07,4.24E-06,1.56E-08,1.96E-07,1.04E-07,1.02E-07,8.03E-07
Brain,8.29E-09,2.81E-05,1.16E-07,1.70E-06,6.66E-09,6.02E-09,2.37E-09,1.58E-08,3.39E-09,5.30E-10,2.28E-08,2.28E-08,4.95E-09,1.24E-08,4.73E-08,8.55E-09,5.31E-10,1.64E-06,2.60E-07,3.74E-07,3.74E-07,1.03E-08,3.30E-10,4.62E-08,1.75E-07,3.45E-10,6.74E-07
Esophagus,7.59E-07,1.16E-07,7.94E-04,9.84E-08,4.51E-07,3.48E-07,1.93E-07,2.11E-06,2.25E-07,1.30E-08,2.50E-06,2.54E-06,3.38E-07,9.28E-07,1.73E-06,1.07E-06,3.66E-08,4.60E-07,2.33E-07,2.37E-07,2.37E-07,6.71E-07,4.96E-09,1.61E-06,4.77E-06,1.94E-08,7.43E-07
Eyes,4.32E-09,1.73E-06,9.84E-08,2.13E-03,1.42E-08,9.08E-09,2.94E-09,1.58E-08,2.54E-09,1.93E-09,3.22E-08,3.22E-08,5.63E-09,1.40E-08,4.15E-08,1.17E-08,1.16E-09,8.69E-07,2.60E-07,3.74E-07,3.74E-07,8.01E-09,6.30E-10,4.73E-08,1.37E-07,2.51E-09,6.74E-07
Gallbladder Wall,1.71E-06,6.66E-09,4.51E-07,1.42E-08,3.15E-04,8.44E-07,7.29E-07,5.77E-07,4.01E-06,9.59E-08,5.61E-07,5.61E-07,8.83E-07,3.85E-06,3.74E-07,1.03E-06,1.49E-07,1.79E-08,3.36E-07,1.34E-07,1.34E-07,2.69E-07,1.38E-08,2.31E-07,8.37E-08,8.72E-08,8.31E-07
LLI Wall,1.92E-06,6.02E-09,3.48E-07,9.08E-09,8.44E-07,2.19E-04,2.58E-06,1.61E-06,6.21E-07,7.75E-07,4.10E-07,4.10E-07,1.20E-06,3.75E-07,2.63E-07,3.77E-06,4.36E-07,1.01E-08,5.80E-07,2.23E-07,2.23E-07,1.34E-06,3.00E-08,1.36E-07,5.16E-08,2.58E-07,8.19E-07
Small Intestine,7.69E-07,2.37E-09,1.93E-07,4.52E-09,7.29E-07,2.58E-06,5.03E-05,6.96E-07,1.94E-06,1.19E-06,2.36E-07,2.36E-07,7.01E-07,3.80E-07,1.21E-07,2.08E-06,9.05E-07,7.30E-09,5.21E-07,1.67E-07,1.67E-07,4.11E-07,8.14E-08,7.99E-08,3.02E-08,6.79E-07,8.31E-07
Stomach Wall,1.44E-06,1.53E-08,2.13E-06,1.58E-08,5.48E-07,1.61E-06,4.53E-07,7.61E-05,1.55E-07,6.81E-08,1.84E-06,1.84E-06,6.01E-07,7.93E-07,1.10E-06,5.94E-06,7.43E-08,3.52E-08,2.46E-07,1.22E-07,1.22E-07,2.43E-06,6.93E-09,4.37E-07,1.81E-07,3.65E-08,7.89E-07
ULI Wall,8.63E-07,3.39E-09,2.25E-07,2.54E-09,4.01E-06,6.21E-07,1.26E-06,1.55E-07,1.18E-04,2.57E-07,3.26E-07,3.26E-07,7.99E-07,9.75E-07,1.68E-07,1.21E-06,3.92E-07,9.25E-09,4.42E-07,1.49E-07,1.49E-07,2.60E-07,3.45E-08,1.03E-07,1.64E-08,2.94E-07,8.19E-07
Rectum,1.42E-07,5.30E-10,3.08E-08,1.93E-09,9.59E-08,7.75E-07,1.19E-06,6.81E-08,2.57E-07,2.25E-04,3.04E-08,3.04E-08,2.52E-07,6.59E-08,2.05E-08,1.24E-07,4.63E-06,7.53E-10,5.80E-07,2.23E-07,2.23E-07,1.05E-07,3.60E-07,1.06E-08,4.78E-09,2.48E-06,8.19E-07
Heart Wall,4.63E-07,2.58E-08,2.26E-06,3.22E-08,5.55E-07,4.10E-07,2.36E-07,1.94E-06,3.26E-07,3.04E-08,4.02E-05,1.03E-04,2.37E-07,1.05E-06,1.69E-06,1.32E-06,3.63E-08,6.74E-08,3.23E-07,1.74E-07,1.74E-07,4.05E-07,3.61E-09,3.92E-06,4.72E-07,1.85E-08,7.86E-07
Kidneys,7.41E-06,5.41E-09,3.08E-07,5.63E-09,8.70E-07,1.20E-06,7.01E-07,6.24E-07,7.99E-07,2.52E-07,2.32E-07,2.32E-07,1.14E-04,1.14E-06,2.16E-07,8.86E-07,3.50E-07,1.28E-08,5.16E-07,1.93E-07,1.93E-07,2.44E-06,2.73E-08,9.42E-08,4.84E-08,1.39E-07,7.73E-07
Liver,2.32E-06,1.29E-08,8.37E-07,1.40E-08,3.61E-06,3.74E-07,3.80E-07,8.24E-07,9.74E-07,6.59E-08,1.05E-06,1.06E-06,1.14E-06,2.28E-05,8.09E-07,1.11E-06,1.01E-07,3.07E-08,2.68E-07,1.50E-07,1.50E-07,3.29E-07,9.64E-09,3.90E-07,1.54E-07,5.11E-08,7.74E-07
Lungs,3.92E-07,4.89E-08,1.50E-06,4.15E-08,3.29E-07,2.63E-07,1.21E-07,1.08E-06,1.68E-07,2.05E-08,1.58E-06,1.63E-06,2.05E-07,7.80E-07,2.82E-05,5.32E-07,2.61E-08,1.29E-07,3.35E-07,2.06E-07,2.06E-07,4.69E-07,2.61E-09,1.50E-06,1.08E-06,1.29E-08,7.25E-07
Pancreas,1.96E-06,8.55E-09,9.32E-07,1.17E-08,1.03E-06,3.68E-06,2.03E-06,6.09E-06,1.31E-06,1.24E-07,1.33E-06,1.33E-06,8.84E-07,1.13E-06,5.52E-07,2.49E-04,1.41E-07,1.88E-08,4.44E-07,1.99E-07,1.99E-07,1.43E-06,1.52E-08,3.33E-07,1.07E-07,7.06E-08,8.33E-07
