,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,6.03E-04,7.46E-09,1.56E-07,1.18E-06,7.69E-09,3.07E-06,8.19E-07,7.38E-07,3.46E-06,4.80E-07,9.50E-08,6.29E-07,6.29E-07,6.61E-06,3.11E-06,6.16E-07,1.96E-07,3.61E-06,2.34E-08,8.86E-07,4.31E-07,4.31E-07,1.67E-05,2.52E-07,9.79E-08,7.18E-08,1.36E-07,6.29E-07
Brain,7.46E-09,1.35E-05,3.36E-08,7.62E-08,2.25E-06,3.11E-09,2.82E-09,1.13E-09,9.57E-09,1.73E-09,2.31E-10,2.96E-08,2.96E-08,3.84E-09,1.03E-08,6.00E-08,3.07E-10,5.09E-09,1.89E-06,4.03E-07,4.55E-07,4.55E-07,8.71E-09,6.71E-08,2.15E-07,1.09E-10,2.72E-10,4.60E-07
Breasts,1.56E-07,3.36E-08,2.20E-05,4.17E-07,8.31E-08,1.25E-07,6.37E-08,6.21E-08,3.14E-07,7.90E-08,7.18E-09,8.51E-07,8.51E-07,7.39E-08,3.27E-07,6.70E-07,8.97E-09,2.24E-07,1.13E-07,1.94E-07,1.25E-07,1.25E-07,1.32E-07,8.82E-07,3.53E-07,4.13E-09,1.32E-08,3.92E-07
Esophagus,1.18E-06,7.62E-08,4.17E-07,2.25E-04,7.47E-08,4.71E-07,2.14E-07,1.39E-07,1.18E-06,1.49E-07,8.74E-09,4.08E-06,4.10E-06,4.61E-07,1.47E-06,2.31E-06,4.12E-08,1.46E-06,3.14E-07,2.83E-07,2.69E-07,2.69E-07,8.43E-07,3.26E-06,6.99E-06,1.97E-08,3.61E-08,4.80E-07
Eyes,7.69E-09,2.42E-06,8.31E-08,7.47E-08,5.45E-04,2.79E-09,2.56E-09,1.80E-09,1.09E-08,9.09E-10,1.65E-09,3.98E-08,3.98E-08,4.15E-09,1.29E-08,5.84E-08,9.96E-10,7.36E-09,1.59E-06,4.03E-07,4.55E-07,4.55E-07,8.83E-09,8.80E-08,2.32E-07,9.72E-10,2.29E-09,4.60E-07
Gallbladder Wall,3.14E-06,3.11E-09,1.25E-07,4.71E-07,2.79E-09,1.32E-04,2.42E-06,2.11E-06,6.89E-07,3.05E-06,2.07E-07,2.61E-07,2.61E-07,3.34E-06,2.72E-06,2.59E-07,4.24E-07,3.03E-06,9.28E-09,3.07E-07,1.68E-07,1.68E-07,5.27E-07,1.37E-07,5.34E-08,1.87E-07,3.68E-07,6.47E-07
LLI Wall,8.19E-07,2.82E-09,6.37E-08,2.14E-07,2.56E-09,2.42E-06,5.33E-05,2.01E-06,1.86E-06,6.00E-07,8.24E-07,2.42E-06,2.42E-06,1.12E-06,4.24E-07,1.67E-07,7.90E-07,1.12E-06,3.50E-09,8.06E-07,2.80E-07,2.80E-07,2.23E-06,6.91E-08,2.28E-08,5.62E-07,9.77E-07,6.46E-07
Small Intestine,7.38E-07,1.65E-09,6.21E-08,2.04E-07,2.64E-09,2.11E-06,2.01E-06,1.90E-05,1.19E-06,1.96E-06,8.21E-07,1.73E-07,1.73E-07,1.12E-06,5.34E-07,1.26E-07,1.57E-06,2.67E-06,6.01E-09,6.56E-07,2.19E-07,2.19E-07,8.14E-07,6.11E-08,2.45E-08,9.26E-07,2.15E-06,5.92E-07
Stomach Wall,3.58E-06,9.57E-09,3.14E-07,1.08E-06,1.09E-08,7.09E-07,1.86E-06,1.12E-06,3.31E-05,2.01E-07,6.48E-08,1.33E-06,1.33E-06,1.05E-06,8.53E-07,1.01E-06,1.10E-07,4.64E-06,3.02E-08,2.76E-07,1.65E-07,1.65E-07,5.24E-06,2.94E-07,1.34E-07,5.24E-08,9.29E-08,6.04E-07
ULI Wall,4.80E-07,4.80E-07,7.90E-08,1.49E-07,9.09E-10,3.05E-06,6.00E-07,1.96E-06,2.01E-07,3.60E-05,2.77E-07,1.30E-07,1.30E-07,1.00E-06,8.38E-07,1.01E-07,7.23E-07,9.55E-07,4.39E-09,5.54E-07,1.85E-07,1.85E-07,2.82E-07,6.02E-08,2.75E-08,2.86E-07,5.31E-07,6.47E-07
