,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,5.65E-04,5.50E-09,8.06E-07,2.50E-09,1.90E-06,2.11E-06,8.37E-07,1.72E-06,9.08E-07,1.42E-07,5.42E-07,5.42E-07,8.55E-06,2.76E-06,4.34E-07,2.29E-06,2.06E-07,1.79E-08,7.62E-07,3.38E-07,3.38E-07,4.94E-06,1.10E-08,1.99E-07,9.73E-08,9.79E-08,5.11E-07
Brain,5.50E-09,1.24E-05,1.10E-07,1.75E-06,4.03E-09,4.05E-09,1.22E-09,1.20E-08,2.22E-09,2.77E-10,1.83E-08,1.83E-08,2.92E-09,8.57E-09,4.02E-08,6.00E-09,2.65E-10,1.71E-06,2.61E-07,3.80E-07,3.80E-07,7.32E-09,2.50E-11,3.85E-08,1.63E-07,1.06E-10,3.71E-07
Esophagus,8.12E-07,1.10E-07,2.00E-04,9.40E-08,4.78E-07,3.80E-07,1.95E-07,2.40E-06,2.40E-07,1.04E-08,2.83E-06,2.84E-06,3.60E-07,1.09E-06,1.96E-06,1.15E-06,2.81E-08,4.81E-07,2.33E-07,2.36E-07,2.36E-07,7.36E-07,2.31E-09,1.73E-06,5.55E-06,1.32E-08,4.44E-07
Eyes,2.50E-09,1.88E-06,9.40E-08,5.44E-04,8.82E-09,4.90E-09,2.04E-09,1.16E-08,1.24E-09,1.47E-09,2.43E-08,2.43E-08,3.92E-09,1.04E-08,3.38E-08,7.38E-09,8.54E-10,8.49E-07,2.61E-07,3.80E-07,3.80E-07,5.31E-09,2.22E-10,4.87E-08,1.23E-07,4.10E-10,3.71E-07
Gallbladder Wall,1.92E-06,4.03E-09,4.78E-07,8.82E-09,1.17E-04,9.97E-07,7.87E-07,6.27E-07,4.64E-06,9.37E-08,6.12E-07,6.12E-07,9.93E-07,4.33E-06,3.63E-07,1.13E-06,1.52E-07,1.29E-08,3.49E-07,1.37E-07,1.37E-07,2.76E-07,8.54E-09,2.40E-07,8.16E-08,7.46E-08,5.38E-07
LLI Wall,2.11E-06,4.05E-09,3.80E-07,4.90E-09,9.97E-07,5.68E-05,3.00E-06,1.79E-06,6.83E-07,8.97E-07,4.39E-07,4.39E-07,1.33E-06,4.06E-07,2.83E-07,4.35E-06,5.01E-07,8.14E-09,6.21E-07,2.30E-07,2.30E-07,1.47E-06,2.67E-08,1.26E-07,4.89E-08,2.69E-07,5.26E-07
Small Intestine,8.37E-07,1.22E-09,1.95E-07,3.13E-09,7.87E-07,3.00E-06,1.60E-05,7.56E-07,2.19E-06,1.35E-06,2.46E-07,2.46E-07,7.74E-07,4.07E-07,1.22E-07,2.38E-06,9.97E-07,4.78E-09,5.62E-07,1.76E-07,1.76E-07,4.36E-07,7.68E-08,7.53E-08,2.69E-08,7.46E-07,5.38E-07
Stomach Wall,1.60E-06,1.15E-08,2.40E-06,1.16E-08,5.96E-07,1.79E-06,4.91E-07,3.02E-05,1.61E-07,6.41E-08,2.08E-06,2.08E-06,6.54E-07,8.77E-07,1.25E-06,6.79E-06,7.00E-08,3.24E-08,2.56E-07,1.24E-07,1.24E-07,2.75E-06,5.16E-09,4.67E-07,1.94E-07,3.18E-08,4.88E-07
ULI Wall,9.08E-07,2.22E-09,2.40E-07,1.24E-09,4.64E-06,6.83E-07,1.42E-06,1.61E-07,3.87E-05,2.75E-07,3.42E-07,3.42E-07,8.83E-07,1.07E-06,1.73E-07,1.38E-06,4.32E-07,6.23E-09,4.79E-07,1.57E-07,1.57E-07,2.72E-07,3.89E-08,1.03E-07,1.68E-08,3.10E-07,5.24E-07
Rectum,1.42E-07,2.77E-10,2.91E-08,1.47E-09,9.37E-08,8.97E-07,1.35E-06,6.41E-08,2.75E-07,6.50E-05,2.51E-08,2.51E-08,2.64E-07,6.24E-08,1.66E-08,1.26E-07,5.39E-06,4.45E-10,6.21E-07,2.30E-07,2.30E-07,9.87E-08,3.93E-07,6.46E-09,4.02E-09,2.81E-06,5.26E-07
Heart Wall,5.02E-07,2.10E-08,2.54E-06,2.43E-08,5.92E-07,4.39E-07,2.46E-07,2.18E-06,3.42E-07,2.51E-08,1.81E-05,2.95E-05,2.45E-07,1.16E-06,1.90E-06,1.45E-06,3.00E-08,6.35E-08,3.34E-07,1.77E-07,1.77E-07,4.32E-07,2.18E-09,4.29E-06,4.99E-07,1.32E-08,4.88E-07
Kidneys,8.37E-06,3.63E-09,3.31E-07,3.93E-09,9.60E-07,1.33E-06,7.74E-07,6.81E-07,8.83E-07,2.64E-07,2.50E-07,2.50E-07,3.89E-05,1.28E-06,2.27E-07,9.74E-07,3.69E-07,8.37E-09,5.30E-07,1.95E-07,1.95E-07,2.77E-06,2.27E-08,9.35E-08,4.48E-08,1.38E-07,4.73E-07
Liver,2.63E-06,9.96E-09,9.28E-07,1.04E-08,4.17E-06,4.06E-07,4.07E-07,9.14E-07,1.07E-06,6.24E-08,1.17E-06,1.17E-06,1.27E-06,1.02E-05,8.92E-07,1.24E-06,9.82E-08,2.61E-08,2.77E-07,1.52E-07,1.52E-07,3.47E-07,7.12E-09,4.17E-07,1.59E-07,4.60E-08,4.75E-07
Lungs,4.25E-07,4.06E-08,1.73E-06,3.38E-08,3.53E-07,2.83E-07,1.22E-07,1.26E-06,1.74E-07,1.66E-08,1.86E-06,1.86E-06,2.15E-07,8.78E-07,8.73E-06,5.89E-07,2.14E-08,1.25E-07,3.40E-07,2.06E-07,2.06E-07,5.11E-07,1.45E-09,1.71E-06,1.24E-06,9.73E-09,4.30E-07
Pancreas,2.21E-06,6.00E-09,1.02E-06,7.38E-09,1.16E-06,4.34E-06,2.37E-06,7.20E-06,1.44E-06,1.26E-07,1.46E-06,1.46E-06,9.81E-07,1.27E-06,6.11E-07,8.24E-05,1.42E-07,1.65E-08,4.57E-07,2.01E-07,2.01E-07,1.58E-06,1.10E-08,3.53E-07,1.09E-07,6.42E-08,5.44E-07
Prostate,2.06E-07,2.65E-10,2.81E-08,8.54E-10,1.52E-07,5.01E-07,6.46E-07,7.00E-08,4.32E-07,5.39E-06,2.97E-08,2.97E-08,3.69E-07,9.82E-08,2.14E-08,1.42E-07,5.24E-04,3.25E-09,2.74E-07,1.24E-07,1.24E-07,1.18E-07,3.17E-07,9.95E-09,6.64E-09,3.90E-06,5.12E-07
Salivary Glands,1.79E-08,1.69E-06,4.81E-07,8.90E-07,1.14E-08,8.14E-09,3.11E-09,3.53E-08,6.23E-09,4.55E-10,6.23E-08,6.23E-08,8.37E-09,2.61E-08,1.25E-07,1.65E-08,4.09E-10,1.07E-04,2.33E-07,2.36E-07,2.36E-07,2.24E-08,6.04E-10,1.40E-07,6.39E-07,4.33E-10,4.44E-07
Red Marrow,4.33E-07,3.34E-07,6.88E-07,2.00E-07,2.20E-07,2.81E-07,2.48E-07,3.85E-07,2.28E-07,6.29E-07,4.06E-07,4.06E-07,3.86E-07,3.53E-07,6.33E-07,2.88E-07,8.69E-07,2.60E-07,4.45E-06,6.70E-07,1.72E-06,4.21E-07,9.74E-08,6.79E-07,5.27E-07,4.44E-07,4.11E-07
Osteogenic Cells,5.67E-07,9.99E-07,7.16E-07,1.13E-06,2.59E-07,3.35E-07,3.10E-07,4.31E-07,2.90E-07,4.72E-07,3.49E-07,3.49E-07,5.05E-07,3.52E-07,5.14E-07,3.75E-07,6.59E-07,1.03E-06,2.74E-06,7.67E-06,8.42E-06,4.78E-07,1.68E-07,4.17E-07,5.13E-07,4.04E-07,6.80E-07
Spleen,4.68E-06,7.32E-09,6.38E-07,5.31E-09,2.70E-07,1.47E-06,4.36E-07,2.79E-06,2.72E-07,9.87E-08,4.20E-07,4.20E-07,2.65E-06,3.34E-07,5.05E-07,1.50E-06,1.16E-07,1.89E-08,2.80E-07,1.52E-07,1.52E-07,7.59E-05,6.88E-09,1.73E-07,1.16E-07,4.25E-08,4.75E-07
Testes,1.10E-08,2.50E-11,2.13E-09,2.22E-10,8.54E-09,2.67E-08,4.98E-08,5.16E-09,3.89E-08,3.93E-07,2.37E-09,2.37E-09,2.27E-08,7.12E-09,1.45E-09,1.10E-08,3.12E-07,6.04E-10,9.90E-08,1.30E-07,1.30E-07,6.88E-09,2.64E-04,3.01E-09,1.24E-09,8.48E-07,4.01E-07
Thymus,1.55E-07,3.85E-08,1.48E-06,3.73E-08,2.12E-07,1.26E-07,4.90E-08,4.73E-07,1.03E-07,6.46E-09,4.05E-06,4.07E-06,9.09E-08,4.28E-07,1.66E-06,3.17E-07,9.95E-09,1.51E-07,2.67E-07,1.53E-07,1.53E-07,1.84E-07,3.01E-09,3.36E-04,2.23E-06,6.16E-09,4.42E-07
Thyroid,9.73E-08,1.63E-07,4.99E-06,1.23E-07,8.16E-08,4.89E-08,1.75E-08,1.94E-07,1.68E-08,2.51E-09,4.84E-07,4.84E-07,4.48E-08,1.59E-07,1.32E-06,1.09E-07,2.00E-09,6.74E-07,2.33E-07,2.36E-07,2.36E-07,1.16E-07,1.24E-09,2.41E-06,4.09E-04,2.87E-09,4.44E-07
Urinary Bladder Wall,9.79E-08,1.06E-10,1.32E-08,1.48E-09,7.46E-08,2.69E-07,4.84E-07,3.18E-08,3.10E-07,2.81E-06,1.32E-08,1.32E-08,1.38E-07,4.60E-08,9.73E-09,6.42E-08,4.18E-06,4.33E-10,2.74E-07,1.24E-07,1.24E-07,4.25E-08,8.48E-07,6.16E-09,2.87E-09,3.54E-05,5.12E-07
Total Body,3.35E-07,1.41E-07,3.06E-07,1.61E-07,2.72E-07,3.56E-07,3.45E-07,2.77E-07,3.30E-07,4.13E-07,2.28E-07,2.28E-07,3.47E-07,2.47E-07,2.62E-07,3.01E-07,4.39E-07,2.38E-07,4.55E-07,4.18E-07,4.18E-07,3.14E-07,3.61E-07,2.71E-07,3.29E-07,3.88E-07,4.20E-07
