,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,2.37E-03,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,4.34E-07,1.39E-07,0.00E00,0.00E00,1.82E-10,0.00E00,0.00E00,0.00E00,0.00E00,2.62E-06,0.00E00,0.00E00,0.00E00,0.00E00,5.27E-07
Brain,0.00E00,2.42E-05,0.00E00,1.33E-12,8.12E-10,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.55E-12,0.00E00,2.21E-12,0.00E00,0.00E00,0.00E00,5.59E-10,0.00E00,0.00E00,0.00E00,0.00E00,9.37E-12,1.42E-11,0.00E00,0.00E00,5.27E-07
Breasts,0.00E00,0.00E00,6.26E-05,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,5.27E-07
Esophagus,4.44E-10,0.00E00,0.00E00,8.83E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.63E-07,1.20E-10,4.63E-10,7.96E-10,0.00E00,6.84E-10,0.00E00,0.00E00,0.00E00,0.00E00,4.28E-11,1.84E-09,7.06E-09,0.00E00,0.00E00,5.27E-07
Eyes,0.00E00,1.80E-09,0.00E00,0.00E00,2.07E-03,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,7.12E-11,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,5.27E-07
Gallbladder Wall,1.81E-09,0.00E00,2.82E-11,3.45E-10,0.00E00,3.29E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,9.69E-10,2.62E-09,4.99E-11,1.56E-10,8.24E-10,0.00E00,0.00E00,0.00E00,0.00E00,8.20E-12,0.00E00,0.00E00,0.00E00,6.87E-12,5.27E-07
LLI Wall,1.90E-10,0.00E00,7.46E-12,0.00E00,0.00E00,0.00E00,1.98E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,9.79E-11,4.96E-10,2.21E-11,0.00E00,3.40E-10,3.02E-10,0.00E00,0.00E00,0.00E00,0.00E00,8.36E-10,0.00E00,3.79E-12,0.00E00,5.80E-10,5.27E-07
Small Intestine,1.96E-10,0.00E00,0.00E00,3.15E-11,0.00E00,0.00E00,0.00E00,5.65E-05,0.00E00,0.00E00,0.00E00,0.00E00,1.80E-11,3.14E-10,1.76E-10,1.33E-11,5.55E-10,5.81E-08,0.00E00,0.00E00,0.00E00,0.00E00,3.60E-10,1.82E-11,0.00E00,0.00E00,3.02E-08,5.27E-07
Stomach Wall,1.74E-08,0.00E00,4.50E-11,2.52E-10,0.00E00,0.00E00,0.00E00,0.00E00,6.88E-05,0.00E00,0.00E00,0.00E00,6.85E-10,1.91E-10,3.67E-09,2.29E-08,0.00E00,6.09E-08,0.00E00,0.00E00,0.00E00,0.00E00,1.38E-07,6.69E-11,4.04E-11,0.00E00,1.01E-11,5.27E-07
ULI Wall,1.73E-11,0.00E00,1.38E-11,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,9.88E-05,0.00E00,0.00E00,0.00E00,1.01E-08,8.24E-09,1.74E-11,1.06E-10,4.62E-10,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,3.41E-10,5.27E-07
