,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,2.21E-03,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,7.35E-07,1.09E-07,1.34E-10,1.30E-09,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.24E-09,0.00E00,0.00E00,0.00E00,0.00E00,4.33E-07
Brain,0.00E00,2.17E-05,1.40E-11,5.05E-10,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,4.57E-10,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.51E-11,0.00E00,4.33E-07
Esophagus,3.40E-10,0.00E00,7.72E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,4.66E-08,2.12E-11,6.24E-10,8.64E-10,1.19E-09,0.00E00,8.98E-11,0.00E00,0.00E00,0.00E00,3.91E-10,0.00E00,7.21E-10,3.04E-09,0.00E00,4.33E-07
Eyes,0.00E00,3.41E-10,0.00E00,2.07E-03,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,4.33E-07
Gallbladder Wall,8.93E-10,0.00E00,1.79E-10,0.00E00,2.73E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.65E-10,4.81E-11,8.99E-08,5.24E-11,3.02E-10,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,2.66E-10,0.00E00,0.00E00,1.68E-11,0.00E00,4.33E-07
LLI Wall,2.68E-10,0.00E00,1.67E-10,0.00E00,0.00E00,2.11E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,2.28E-10,3.08E-10,1.37E-09,1.44E-10,9.86E-08,6.49E-11,0.00E00,0.00E00,0.00E00,0.00E00,2.38E-10,0.00E00,0.00E00,0.00E00,0.00E00,4.33E-07
Small Intestine,1.94E-10,0.00E00,5.05E-11,0.00E00,0.00E00,0.00E00,4.52E-05,0.00E00,0.00E00,0.00E00,0.00E00,3.91E-11,1.62E-10,6.11E-11,5.02E-11,5.13E-08,2.92E-10,0.00E00,0.00E00,0.00E00,0.00E00,1.33E-10,2.68E-12,2.06E-11,3.88E-12,0.00E00,4.33E-07
Stomach Wall,6.86E-10,0.00E00,2.76E-08,0.00E00,0.00E00,0.00E00,0.00E00,6.33E-05,0.00E00,0.00E00,0.00E00,4.12E-09,3.16E-10,2.38E-09,2.78E-08,2.00E-07,4.38E-12,2.60E-11,0.00E00,0.00E00,0.00E00,6.58E-09,0.00E00,1.58E-10,1.01E-10,0.00E00,4.33E-07
ULI Wall,2.65E-10,0.00E00,8.63E-11,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,1.05E-04,0.00E00,0.00E00,1.54E-10,3.44E-10,1.44E-09,1.18E-10,8.44E-10,1.31E-10,0.00E00,0.00E00,0.00E00,0.00E00,8.26E-11,0.00E00,9.49E-12,0.00E00,0.00E00,4.33E-07
Rectum,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,2.11E-04,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,2.33E-09,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,7.64E-11,0.00E00,0.00E00,0.00E00,4.33E-07
Heart Wall,6.84E-11,0.00E00,3.49E-08,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,0.00E00,3.10E-05,9.55E-05,8.51E-11,3.41E-09,5.29E-08,5.37E-10,2.59E-11,3.32E-11,0.00E00,0.00E00,0.00E00,1.34E-10,0.00E00,2.23E-07,1.07E-10,0.00E00,4.33E-07
