,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,5.26E-01,1.47E-12,1.74E-11,9.76E-11,9.36E-13,2.54E-10,6.86E-11,6.16E-11,2.83E-10,4.24E-11,9.88E-12,5.15E-11,5.15E-11,4.88E-10,2.34E-10,6.30E-11,1.91E-11,2.80E-10,3.47E-12,8.00E-11,4.17E-11,4.17E-11,1.32E-09,1.88E-11,1.01E-11,8.97E-12,1.38E-11,1.14E-04
Brain,1.47E-12,5.26E-03,5.06E-12,8.99E-12,2.04E-10,8.22E-13,7.07E-13,3.16E-13,1.95E-12,5.10E-13,1.14E-13,4.51E-12,4.51E-12,9.60E-13,1.95E-12,8.06E-12,1.58E-13,9.81E-13,1.71E-10,3.66E-11,4.31E-11,4.31E-11,1.65E-12,8.85E-12,2.38E-11,8.00E-14,1.04E-13,1.14E-04
Breasts,1.74E-11,5.06E-12,1.37E-02,4.06E-11,1.01E-11,1.38E-11,7.95E-12,8.07E-12,3.13E-11,1.02E-11,1.43E-12,7.86E-11,7.86E-11,9.23E-12,3.20E-11,6.20E-11,1.73E-12,2.13E-11,1.24E-11,1.99E-11,1.32E-11,1.32E-11,1.41E-11,8.51E-11,3.69E-11,1.09E-12,2.30E-12,1.14E-04
Esophagus,9.76E-11,8.99E-12,4.06E-11,1.95E-01,8.47E-12,4.35E-11,1.92E-11,1.27E-11,9.79E-11,1.45E-11,1.51E-12,3.29E-10,3.34E-10,3.94E-11,1.20E-10,1.81E-10,4.77E-12,1.16E-10,3.35E-11,2.77E-11,2.78E-11,2.78E-11,7.18E-11,2.79E-10,5.45E-10,2.43E-12,4.27E-12,1.14E-04
Eyes,9.36E-13,2.11E-10,1.01E-11,8.47E-12,4.56E-01,8.24E-13,7.30E-13,4.73E-13,2.23E-12,4.43E-13,2.82E-13,5.30E-12,5.30E-12,8.18E-13,2.33E-12,7.56E-12,2.00E-13,1.29E-12,1.49E-10,3.66E-11,4.31E-11,4.31E-11,1.61E-12,1.16E-11,2.47E-11,2.25E-13,2.71E-13,1.14E-04
Gallbladder Wall,2.49E-10,8.22E-13,1.38E-11,4.35E-11,8.24E-13,6.95E-09,1.86E-10,1.64E-10,5.94E-11,2.40E-10,1.94E-11,2.49E-11,2.49E-11,2.65E-10,2.20E-10,2.37E-11,3.60E-11,2.39E-10,1.38E-12,3.19E-11,1.56E-11,1.56E-11,4.47E-11,1.15E-11,6.08E-12,1.83E-11,2.94E-11,1.14E-04
LLI Wall,6.86E-11,7.07E-13,7.95E-12,1.92E-11,7.30E-13,1.86E-10,2.48E-09,1.65E-10,1.56E-10,5.28E-11,6.82E-11,1.86E-10,1.86E-10,9.55E-11,3.69E-11,1.61E-11,6.49E-11,8.87E-11,9.75E-13,6.93E-11,2.60E-11,2.60E-11,1.86E-10,8.45E-12,2.87E-12,4.76E-11,8.08E-11,1.14E-04
Small Intestine,6.16E-11,4.63E-13,8.07E-12,1.87E-11,6.93E-13,1.64E-10,1.65E-10,9.99E-10,9.73E-11,1.61E-10,6.73E-11,1.67E-11,1.67E-11,9.15E-11,4.66E-11,1.27E-11,1.27E-10,2.12E-10,1.10E-12,5.77E-11,1.99E-11,1.99E-11,6.96E-11,6.58E-12,3.00E-12,7.85E-11,1.68E-10,1.14E-04
Stomach Wall,2.83E-10,1.95E-12,3.13E-11,8.65E-11,2.23E-12,5.74E-11,1.56E-10,9.13E-11,1.93E-09,1.94E-11,7.70E-12,1.04E-10,1.04E-10,8.63E-11,6.99E-11,7.92E-11,1.14E-11,3.65E-10,3.81E-12,2.61E-11,1.53E-11,1.53E-11,4.19E-10,2.70E-11,1.31E-11,6.52E-12,1.03E-11,1.14E-04
ULI Wall,4.24E-11,4.24E-11,1.02E-11,1.45E-11,4.43E-13,2.40E-10,5.28E-11,1.61E-10,1.94E-11,1.91E-09,2.58E-11,1.39E-11,1.39E-11,8.37E-11,7.18E-11,1.09E-11,6.25E-11,7.89E-11,7.35E-13,4.45E-11,1.70E-11,1.70E-11,2.70E-11,7.51E-12,4.36E-12,2.57E-11,4.68E-11,1.14E-04
