,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,4.88E-01,1.16E-12,6.60E-11,7.79E-13,1.57E-10,1.69E-10,6.83E-11,1.36E-10,7.90E-11,1.41E-11,4.31E-11,4.31E-11,6.66E-10,2.19E-10,3.94E-11,1.74E-10,1.98E-11,2.28E-12,6.87E-11,3.17E-11,3.17E-11,3.96E-10,1.68E-12,2.12E-11,1.08E-11,9.77E-12,9.37E-05
Brain,1.16E-12,4.72E-03,1.20E-11,1.61E-10,9.91E-13,9.19E-13,3.98E-13,2.05E-12,5.72E-13,1.04E-13,2.95E-12,2.95E-12,7.96E-13,1.69E-12,5.60E-12,1.18E-12,1.06E-13,1.54E-10,2.58E-11,3.65E-11,3.65E-11,1.50E-12,2.75E-13,5.69E-12,1.86E-11,6.87E-14,9.37E-05
Esophagus,6.93E-11,1.20E-11,1.71E-01,1.21E-11,4.33E-11,2.95E-11,1.95E-11,1.94E-10,2.13E-11,1.44E-12,2.25E-10,2.26E-10,3.06E-11,8.15E-11,1.58E-10,9.39E-11,4.61E-12,4.41E-11,2.24E-11,2.30E-11,2.30E-11,6.05E-11,6.90E-13,1.48E-10,4.37E-10,2.32E-12,9.37E-05
Eyes,7.79E-13,1.58E-10,1.21E-11,4.56E-01,2.07E-12,1.35E-12,4.71E-13,2.27E-12,5.33E-13,2.48E-13,4.10E-12,4.10E-12,8.42E-13,1.98E-12,5.15E-12,1.43E-12,2.03E-13,9.18E-11,2.58E-11,3.65E-11,3.65E-11,1.40E-12,1.04E-13,5.34E-12,1.56E-11,2.11E-13,9.37E-05
Gallbladder Wall,1.53E-10,9.91E-13,4.33E-11,2.07E-12,6.36E-09,7.96E-11,6.46E-11,5.20E-11,3.74E-10,1.01E-11,5.08E-11,5.08E-11,8.02E-11,3.48E-10,3.44E-11,9.23E-11,1.53E-11,2.13E-12,3.04E-11,1.25E-11,1.25E-11,2.58E-11,2.02E-12,2.21E-11,8.71E-12,9.78E-12,9.37E-05
LLI Wall,1.69E-10,9.19E-13,2.95E-11,1.35E-12,7.96E-11,2.64E-09,2.34E-10,1.46E-10,5.83E-11,7.16E-11,3.86E-11,3.86E-11,1.08E-10,3.50E-11,2.42E-11,3.37E-10,3.84E-11,1.44E-12,5.41E-11,2.09E-11,2.09E-11,1.21E-10,3.55E-12,1.31E-11,5.10E-12,2.43E-11,9.37E-05
Small Intestine,6.83E-11,3.98E-13,1.95E-11,7.25E-13,6.46E-11,2.34E-10,8.72E-10,6.40E-11,1.77E-10,1.08E-10,2.27E-11,2.27E-11,6.20E-11,3.54E-11,1.20E-11,1.86E-10,8.13E-11,1.03E-12,4.82E-11,1.59E-11,1.59E-11,3.90E-11,8.84E-12,8.35E-12,3.35E-12,6.15E-11,9.37E-05
Stomach Wall,1.29E-10,2.03E-12,1.95E-10,2.27E-12,4.93E-11,1.46E-10,4.17E-11,1.75E-09,1.46E-11,7.22E-12,1.66E-10,1.67E-10,5.44E-11,7.15E-11,9.67E-11,5.34E-10,7.99E-12,4.09E-12,2.30E-11,1.17E-11,1.17E-11,2.22E-10,1.14E-12,4.08E-11,1.69E-11,4.36E-12,9.37E-05
ULI Wall,7.90E-11,5.72E-13,2.13E-11,5.33E-13,3.74E-10,5.83E-11,1.15E-10,1.46E-11,2.06E-09,2.32E-11,3.12E-11,3.12E-11,7.28E-11,8.83E-11,1.65E-11,1.09E-10,3.60E-11,1.19E-12,4.07E-11,1.41E-11,1.41E-11,2.52E-11,2.74E-12,1.04E-11,1.85E-12,2.89E-11,9.37E-05
Rectum,1.41E-11,1.04E-13,3.80E-12,2.48E-13,1.01E-11,7.16E-11,1.08E-10,7.22E-12,2.32E-11,3.19E-09,3.63E-12,3.63E-12,2.39E-11,7.09E-12,2.72E-12,1.24E-11,4.18E-10,1.76E-13,5.41E-11,2.09E-11,2.09E-11,1.08E-11,3.48E-11,1.39E-12,6.95E-13,2.24E-10,9.37E-05
