,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,3.57E-01,2.52E-09,5.50E-08,4.36E-07,2.07E-09,1.13E-06,3.07E-07,2.59E-07,1.26E-06,1.82E-07,2.98E-08,2.29E-07,2.29E-07,2.31E-06,1.13E-06,2.23E-07,6.40E-08,1.28E-06,7.49E-09,3.10E-07,1.53E-07,1.53E-07,6.02E-06,8.67E-08,3.33E-08,2.40E-08,4.56E-08,7.74E-05
Brain,2.52E-09,3.57E-03,1.12E-08,2.57E-08,8.03E-07,1.13E-09,9.42E-10,3.73E-10,3.23E-09,5.93E-10,9.10E-11,1.00E-08,1.00E-08,1.25E-09,3.55E-09,2.03E-08,1.23E-10,1.66E-09,6.78E-07,1.34E-07,1.60E-07,1.60E-07,2.94E-09,2.24E-08,7.37E-08,5.51E-11,9.07E-11,7.74E-05
Breasts,5.50E-08,1.12E-08,9.27E-03,1.50E-07,2.80E-08,4.19E-08,2.25E-08,2.12E-08,1.12E-07,2.70E-08,2.19E-09,3.10E-07,3.10E-07,2.51E-08,1.17E-07,2.47E-07,3.11E-09,7.71E-08,3.94E-08,6.68E-08,4.36E-08,4.36E-08,4.63E-08,3.25E-07,1.30E-07,1.40E-09,3.80E-09,7.73E-05
Esophagus,4.36E-07,2.57E-08,1.50E-07,1.32E-01,2.47E-08,1.73E-07,7.63E-08,4.92E-08,4.30E-07,5.03E-08,2.93E-09,1.45E-06,1.49E-06,1.64E-07,5.32E-07,8.31E-07,1.28E-08,5.22E-07,1.19E-07,9.97E-08,9.67E-08,9.67E-08,3.10E-07,1.20E-06,2.34E-06,6.44E-09,1.14E-08,7.74E-05
Eyes,2.07E-09,8.54E-07,2.80E-08,2.47E-08,3.09E-01,9.91E-10,8.71E-10,5.90E-10,3.69E-09,3.38E-10,5.31E-10,1.33E-08,1.33E-08,1.42E-09,4.36E-09,1.93E-08,3.16E-10,2.20E-09,5.50E-07,1.34E-07,1.60E-07,1.60E-07,2.76E-09,2.65E-08,7.44E-08,3.04E-10,7.49E-10,7.74E-05
Gallbladder Wall,1.15E-06,1.13E-09,4.19E-08,1.73E-07,9.91E-10,1.57E-04,8.14E-07,7.52E-07,2.55E-07,1.09E-06,6.94E-08,9.27E-08,9.27E-08,1.21E-06,1.01E-06,8.95E-08,1.48E-07,1.13E-06,2.88E-09,1.15E-07,5.87E-08,5.87E-08,1.88E-07,4.57E-08,1.82E-08,6.47E-08,1.25E-07,7.74E-05
LLI Wall,3.07E-07,9.42E-10,2.25E-08,7.63E-08,8.71E-10,8.14E-07,8.48E-05,7.29E-07,6.67E-07,2.14E-07,2.87E-07,8.14E-07,8.14E-07,4.14E-07,1.52E-07,6.04E-08,2.87E-07,4.12E-07,1.26E-09,2.85E-07,9.96E-08,9.96E-08,8.00E-07,2.32E-08,7.87E-09,1.99E-07,3.52E-07,7.74E-05
Small Intestine,2.59E-07,5.47E-10,2.12E-08,7.22E-08,8.64E-10,7.52E-07,7.29E-07,2.56E-05,4.33E-07,7.15E-07,2.99E-07,6.07E-08,6.07E-08,4.09E-07,1.94E-07,4.42E-08,5.77E-07,9.63E-07,1.92E-09,2.35E-07,7.73E-08,7.73E-08,2.98E-07,2.04E-08,8.09E-09,3.39E-07,7.74E-07,7.74E-05
Stomach Wall,1.27E-06,3.23E-09,1.12E-07,3.96E-07,3.69E-09,2.56E-07,6.67E-07,4.07E-07,3.45E-05,7.24E-08,2.14E-08,4.89E-07,4.89E-07,3.84E-07,3.11E-07,3.58E-07,3.70E-08,1.68E-06,1.02E-08,9.54E-08,5.81E-08,5.81E-08,1.88E-06,1.06E-07,4.83E-08,1.70E-08,3.08E-08,7.74E-05
ULI Wall,1.82E-07,1.82E-07,2.70E-08,5.03E-08,3.38E-10,1.09E-06,2.14E-07,7.15E-07,7.24E-08,4.57E-05,9.97E-08,4.50E-08,4.50E-08,3.64E-07,3.02E-07,3.52E-08,2.65E-07,3.51E-07,1.37E-09,1.96E-07,6.56E-08,6.56E-08,1.02E-07,1.97E-08,9.13E-09,9.60E-08,1.92E-07,7.74E-05
Rectum,2.98E-08,9.10E-11,2.19E-09,2.93E-09,5.31E-10,6.94E-08,2.87E-07,2.92E-07,2.14E-08,9.97E-08,8.92E-05,5.23E-09,5.23E-09,6.27E-08,2.06E-08,4.29E-09,1.75E-06,3.96E-08,1.45E-10,2.85E-07,9.96E-08,9.96E-08,2.66E-08,1.58E-09,5.67E-10,2.40E-06,4.15E-06,7.74E-05
Heart Wall,2.29E-07,1.12E-08,3.56E-07,1.48E-06,1.33E-08,9.47E-08,8.74E-08,5.68E-08,4.92E-07,4.50E-08,5.23E-09,6.27E-03,1.85E-02,9.39E-08,2.90E-07,9.12E-07,9.21E-09,2.72E-07,3.63E-08,1.20E-07,7.56E-08,7.56E-08,2.47E-07,1.44E-06,2.71E-07,4.26E-09,7.54E-09,7.74E-05
Kidneys,2.25E-06,1.25E-09,2.80E-08,1.64E-07,1.42E-09,1.18E-06,4.14E-07,3.77E-07,3.81E-07,3.62E-07,6.24E-08,9.04E-08,9.04E-08,1.68E-02,5.82E-07,9.19E-08,1.18E-07,7.01E-07,3.70E-09,2.23E-07,9.33E-08,9.33E-08,1.48E-06,3.43E-08,1.70E-08,4.41E-08,9.03E-08,7.74E-05
Liver,1.14E-06,3.79E-09,1.17E-07,5.32E-07,4.36E-09,9.98E-07,1.52E-07,1.80E-07,3.09E-07,3.00E-07,2.06E-08,2.88E-07,2.88E-07,5.87E-07,3.31E-03,3.71E-07,4.06E-08,8.94E-07,1.13E-08,1.09E-07,6.87E-08,6.87E-08,1.56E-07,1.65E-07,6.35E-08,1.79E-08,3.36E-08,7.74E-05
Lungs,2.26E-07,2.04E-08,2.47E-07,8.31E-07,1.93E-08,9.05E-08,6.04E-08,3.99E-08,3.56E-07,3.52E-08,4.29E-09,8.78E-07,8.98E-07,9.09E-08,3.70E-07,4.88E-03,8.05E-09,1.86E-07,6.55E-08,1.45E-07,9.55E-08,9.55E-08,2.09E-07,9.69E-07,5.14E-07,3.40E-09,6.45E-09,7.74E-05
Ovaries,6.40E-08,1.23E-10,3.11E-09,1.28E-08,3.16E-10,1.48E-07,2.87E-07,5.77E-07,3.70E-08,2.65E-07,1.75E-06,9.21E-09,9.21E-09,1.18E-07,4.06E-08,8.05E-09,4.21E-01,7.44E-08,1.75E-10,2.83E-07,8.83E-08,8.83E-08,4.62E-08,4.08E-09,8.73E-10,1.01E-06,3.69E-06,7.74E-05
