,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,3.31E-01,1.79E-09,2.87E-07,8.16E-10,6.98E-07,7.79E-07,3.17E-07,6.33E-07,3.41E-07,4.88E-08,1.90E-07,1.90E-07,3.06E-06,9.81E-07,1.63E-07,8.51E-07,6.60E-08,5.81E-09,2.66E-07,1.19E-07,1.19E-07,1.77E-06,3.59E-09,6.69E-08,3.27E-08,3.16E-08,6.36E-05
Brain,1.79E-09,3.20E-03,3.78E-08,6.24E-07,1.46E-09,1.34E-09,4.77E-10,4.07E-09,7.50E-10,9.35E-11,6.07E-09,6.07E-09,1.06E-09,2.84E-09,1.35E-08,2.07E-09,9.38E-11,6.13E-07,9.29E-08,1.35E-07,1.35E-07,2.35E-09,1.75E-11,1.28E-08,5.52E-08,5.29E-11,6.36E-05
Esophagus,3.00E-07,3.78E-08,1.16E-01,3.13E-08,1.75E-07,1.36E-07,7.07E-08,8.56E-07,8.28E-08,3.38E-09,1.01E-06,1.02E-06,1.25E-07,3.81E-07,7.01E-07,4.23E-07,9.26E-09,1.75E-07,8.27E-08,8.46E-08,8.46E-08,2.67E-07,8.80E-10,6.43E-07,1.93E-06,4.68E-09,6.36E-05
Eyes,8.16E-10,6.53E-07,3.13E-08,3.09E-01,3.17E-09,1.64E-09,7.12E-10,4.10E-09,4.24E-10,5.02E-10,8.43E-09,8.43E-09,1.23E-09,3.53E-09,1.13E-08,2.74E-09,2.98E-10,2.92E-07,9.29E-08,1.35E-07,1.35E-07,1.85E-09,9.50E-11,1.46E-08,3.81E-08,3.32E-10,6.36E-05
Gallbladder Wall,7.00E-07,1.46E-09,1.75E-07,3.17E-09,1.32E-04,3.40E-07,2.90E-07,2.24E-07,1.64E-06,3.19E-08,2.22E-07,2.22E-07,3.62E-07,1.57E-06,1.37E-07,4.25E-07,4.97E-08,4.77E-09,1.21E-07,4.73E-08,4.73E-08,9.63E-08,3.12E-09,8.34E-08,2.76E-08,2.53E-08,6.36E-05
LLI Wall,7.79E-07,1.34E-09,1.36E-07,1.64E-09,3.40E-07,9.05E-05,1.06E-06,6.54E-07,2.42E-07,3.14E-07,1.59E-07,1.59E-07,4.92E-07,1.44E-07,1.03E-07,1.55E-06,1.78E-07,2.70E-09,2.19E-07,8.02E-08,8.02E-08,5.47E-07,8.63E-09,4.31E-08,1.60E-08,9.29E-08,6.36E-05
Small Intestine,3.17E-07,4.77E-10,7.07E-08,1.10E-09,2.90E-07,1.06E-06,2.08E-05,2.76E-07,7.92E-07,4.84E-07,8.72E-08,8.72E-08,2.77E-07,1.45E-07,4.36E-08,8.55E-07,3.68E-07,1.62E-09,1.98E-07,6.16E-08,6.16E-08,1.59E-07,2.63E-08,2.57E-08,9.01E-09,2.70E-07,6.36E-05
Stomach Wall,5.89E-07,4.01E-09,8.62E-07,4.10E-09,2.14E-07,6.54E-07,1.79E-07,3.17E-05,5.88E-08,2.11E-08,7.56E-07,7.57E-07,2.36E-07,3.19E-07,4.49E-07,2.43E-06,2.29E-08,1.06E-08,8.80E-08,4.27E-08,4.27E-08,9.97E-07,1.65E-09,1.71E-07,6.90E-08,1.04E-08,6.36E-05
ULI Wall,3.41E-07,7.50E-10,8.29E-08,4.24E-10,1.64E-06,2.42E-07,5.15E-07,5.88E-08,4.88E-05,9.30E-08,1.23E-07,1.23E-07,3.25E-07,3.93E-07,6.16E-08,4.72E-07,1.50E-07,2.11E-09,1.66E-07,5.42E-08,5.42E-08,9.56E-08,1.31E-08,3.65E-08,6.19E-09,1.06E-07,6.36E-05
Rectum,4.88E-08,9.35E-11,9.13E-09,5.02E-10,3.19E-08,3.14E-07,4.84E-07,2.11E-08,9.30E-08,9.34E-05,8.24E-09,8.24E-09,9.26E-08,2.03E-08,5.50E-09,4.32E-08,1.95E-06,1.40E-10,2.19E-07,8.02E-08,8.02E-08,3.40E-08,1.33E-07,2.39E-09,1.39E-09,1.03E-06,6.36E-05
Heart Wall,1.80E-07,7.14E-09,9.15E-07,8.43E-09,2.17E-07,1.59E-07,8.72E-08,7.95E-07,1.23E-07,8.24E-09,4.55E-03,1.40E-02,8.53E-08,4.26E-07,6.88E-07,5.40E-07,1.01E-08,2.14E-08,1.18E-07,6.25E-08,6.25E-08,1.56E-07,7.60E-10,1.56E-06,1.87E-07,4.60E-09,6.36E-05
Kidneys,2.97E-06,1.20E-09,1.16E-07,1.21E-09,3.54E-07,4.92E-07,2.77E-07,2.45E-07,3.25E-07,9.26E-08,8.46E-08,8.47E-08,1.50E-02,4.63E-07,7.89E-08,3.53E-07,1.29E-07,2.90E-09,1.86E-07,6.86E-08,6.86E-08,9.89E-07,7.62E-09,3.16E-08,1.52E-08,4.60E-08,6.36E-05
Liver,9.45E-07,3.32E-09,3.40E-07,3.53E-09,1.49E-06,1.44E-07,1.45E-07,3.32E-07,3.93E-07,2.03E-08,4.27E-07,4.27E-07,4.60E-07,2.58E-03,3.25E-07,4.51E-07,3.24E-08,8.80E-09,9.66E-08,5.30E-08,5.30E-08,1.22E-07,2.28E-09,1.52E-07,5.64E-08,1.50E-08,6.36E-05
