,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,4.33E-02,5.64E-08,5.95E-07,3.47E-06,3.33E-08,9.00E-06,2.44E-06,2.14E-06,1.01E-05,1.51E-06,3.51E-07,1.83E-06,1.83E-06,1.79E-05,8.60E-06,2.01E-06,6.37E-07,1.00E-05,1.15E-07,2.79E-06,1.42E-06,1.42E-06,4.77E-05,7.18E-07,3.61E-07,3.10E-07,4.76E-07,1.09E-05
Brain,5.64E-08,4.55E-04,1.78E-07,3.18E-07,7.12E-06,3.22E-08,2.78E-08,1.30E-08,6.99E-08,2.16E-08,5.65E-09,1.64E-07,1.64E-07,3.77E-08,7.32E-08,2.78E-07,7.79E-09,3.74E-08,5.95E-06,1.28E-06,1.51E-06,1.51E-06,6.25E-08,3.17E-07,8.35E-07,4.06E-09,5.98E-09,1.04E-05
Breasts,5.95E-07,1.78E-07,1.15E-03,1.41E-06,3.50E-07,4.97E-07,2.79E-07,2.88E-07,1.10E-06,3.65E-07,5.19E-08,2.75E-06,2.75E-06,3.21E-07,1.13E-06,2.17E-06,6.82E-08,7.65E-07,4.38E-07,7.00E-07,4.66E-07,4.66E-07,5.00E-07,2.96E-06,1.29E-06,4.33E-08,8.50E-08,1.03E-05
Esophagus,3.47E-06,3.18E-07,1.41E-06,1.61E-02,3.08E-07,1.51E-06,6.63E-07,4.48E-07,3.41E-06,5.09E-07,5.22E-08,1.17E-05,1.20E-05,1.40E-06,4.23E-06,6.50E-06,1.74E-07,4.15E-06,1.14E-06,9.67E-07,9.63E-07,9.63E-07,2.47E-06,9.84E-06,1.95E-05,8.90E-08,1.52E-07,1.05E-05
Eyes,3.33E-08,7.52E-06,3.50E-07,3.08E-07,3.76E-02,3.26E-08,2.82E-08,1.95E-08,7.63E-08,2.29E-08,1.11E-08,1.92E-07,1.92E-07,3.41E-08,8.49E-08,2.67E-07,7.85E-09,5.14E-08,5.22E-06,1.28E-06,1.51E-06,1.51E-06,6.08E-08,3.92E-07,9.64E-07,8.74E-09,1.01E-08,1.04E-05
Gallbladder Wall,8.93E-06,3.22E-08,4.97E-07,1.51E-06,3.26E-08,3.15E-04,6.60E-06,5.80E-06,2.09E-06,8.65E-06,6.88E-07,8.62E-07,8.62E-07,9.35E-06,7.82E-06,7.96E-07,1.29E-06,8.52E-06,5.21E-08,1.08E-06,5.39E-07,5.39E-07,1.58E-06,4.16E-07,2.15E-07,6.56E-07,1.08E-06,1.08E-05
LLI Wall,2.44E-06,2.78E-08,2.79E-07,6.63E-07,2.82E-08,6.60E-06,1.30E-04,5.85E-06,5.51E-06,1.85E-06,2.40E-06,6.60E-06,6.60E-06,3.37E-06,1.31E-06,5.68E-07,2.32E-06,3.20E-06,3.54E-08,2.42E-06,9.01E-07,9.01E-07,6.55E-06,3.02E-07,1.06E-07,1.68E-06,2.82E-06,1.09E-05
Small Intestine,2.14E-06,1.91E-08,2.88E-07,6.57E-07,2.86E-08,5.80E-06,5.85E-06,4.77E-05,3.47E-06,5.74E-06,2.37E-06,5.89E-07,5.89E-07,3.25E-06,1.64E-06,4.52E-07,4.50E-06,7.56E-06,4.30E-08,2.00E-06,6.91E-07,6.91E-07,2.44E-06,2.40E-07,1.13E-07,2.79E-06,6.01E-06,1.08E-05
Stomach Wall,1.01E-05,6.99E-08,1.10E-06,3.08E-06,7.63E-08,2.04E-06,5.51E-06,3.23E-06,8.28E-05,6.76E-07,2.73E-07,3.72E-06,3.72E-06,3.08E-06,2.48E-06,2.84E-06,4.09E-07,1.31E-05,1.40E-07,9.14E-07,5.37E-07,5.37E-07,1.50E-05,9.43E-07,4.62E-07,2.36E-07,3.64E-07,1.08E-05
ULI Wall,1.51E-06,1.51E-06,3.65E-07,5.09E-07,2.29E-08,8.65E-06,1.85E-06,5.74E-06,6.76E-07,8.90E-05,9.34E-07,4.83E-07,4.83E-07,2.94E-06,2.55E-06,3.88E-07,2.23E-06,2.82E-06,2.84E-08,1.59E-06,6.00E-07,6.00E-07,9.42E-07,2.62E-07,1.58E-07,9.31E-07,1.65E-06,1.09E-05
Rectum,3.51E-07,5.65E-09,5.19E-08,5.22E-08,1.11E-08,6.88E-07,2.40E-06,2.38E-06,2.73E-07,9.34E-07,1.60E-04,9.27E-08,9.27E-08,6.37E-07,2.65E-07,7.75E-08,1.35E-05,4.26E-07,5.63E-09,2.42E-06,9.01E-07,9.01E-07,3.09E-07,4.12E-08,1.40E-08,1.89E-05,3.28E-05,1.09E-05
Heart Wall,1.83E-06,1.74E-07,3.12E-06,1.19E-05,1.92E-07,8.63E-07,7.85E-07,5.56E-07,3.77E-06,4.83E-07,9.27E-08,7.97E-04,2.28E-03,8.70E-07,2.29E-06,7.15E-06,1.41E-07,2.16E-06,4.18E-07,1.09E-06,6.84E-07,6.84E-07,1.97E-06,1.17E-05,2.22E-06,8.75E-08,1.23E-07,1.08E-05
Kidneys,1.80E-05,3.77E-08,3.52E-07,1.40E-06,3.41E-08,9.19E-06,3.37E-06,3.04E-06,3.06E-06,2.93E-06,6.17E-07,8.24E-07,8.24E-07,2.08E-03,4.70E-06,8.15E-07,1.08E-06,5.35E-06,7.03E-08,2.01E-06,8.58E-07,8.58E-07,1.17E-05,3.68E-07,2.05E-07,4.73E-07,8.38E-07,1.08E-05
Liver,8.94E-06,7.97E-08,1.13E-06,4.23E-06,8.49E-08,7.74E-06,1.31E-06,1.53E-06,2.49E-06,2.53E-06,2.65E-07,2.29E-06,2.29E-06,4.75E-06,4.22E-04,2.95E-06,4.42E-07,6.91E-06,1.63E-07,1.01E-06,6.45E-07,6.45E-07,1.35E-06,1.32E-06,5.73E-07,2.38E-07,3.79E-07,1.08E-05
Lungs,1.79E-06,2.73E-07,2.17E-06,6.50E-06,2.67E-07,8.07E-07,5.68E-07,4.07E-07,2.77E-06,3.88E-07,7.75E-08,6.73E-06,6.86E-06,8.06E-07,2.84E-06,5.98E-04,1.19E-07,1.47E-06,6.69E-07,1.28E-06,8.64E-07,8.64E-07,1.69E-06,7.21E-06,4.02E-06,6.99E-08,1.06E-07,1.06E-05
Ovaries,6.37E-07,7.79E-09,6.82E-08,1.74E-07,7.85E-09,1.29E-06,2.32E-06,4.50E-06,4.09E-07,2.23E-06,1.35E-05,1.41E-07,1.41E-07,1.08E-06,4.42E-07,1.19E-07,5.12E-02,7.39E-07,1.52E-08,2.36E-06,7.73E-07,7.73E-07,5.31E-07,6.38E-08,2.60E-08,8.07E-06,2.91E-05,1.10E-05
Pancreas,9.48E-06,3.74E-08,7.65E-07,4.15E-06,5.14E-08,8.32E-06,3.20E-06,6.85E-06,1.26E-05,2.82E-06,4.26E-07,2.05E-06,2.05E-06,5.29E-06,6.75E-06,1.51E-06,7.40E-07,4.77E-03,8.04E-08,1.47E-06,7.70E-07,7.70E-07,7.08E-06,6.94E-07,3.11E-07,3.90E-07,6.31E-07,1.10E-05
Salivary Glands,1.15E-07,5.87E-06,4.38E-07,1.14E-06,5.22E-06,5.21E-08,3.54E-08,4.30E-08,1.40E-07,2.84E-08,5.63E-09,4.18E-07,4.18E-07,7.03E-08,1.63E-07,6.69E-07,1.52E-08,8.04E-08,8.09E-03,9.67E-07,9.63E-07,9.63E-07,1.13E-07,9.24E-07,2.99E-06,1.78E-08,7.43E-09,1.05E-05
Red Marrow,1.71E-06,7.61E-07,7.11E-07,3.40E-06,6.44E-07,1.63E-06,1.33E-06,1.35E-06,1.20E-06,1.06E-06,1.85E-06,1.70E-06,1.70E-06,1.66E-06,1.32E-06,2.20E-06,2.90E-06,1.83E-06,1.10E-06,6.19E-04,2.51E-06,3.10E-04,1.47E-06,2.34E-06,2.31E-06,1.45E-06,2.02E-06,1.46E-05
