,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,4.02E-02,4.58E-08,2.32E-06,2.95E-08,5.48E-06,6.00E-06,2.37E-06,4.84E-06,2.77E-06,5.04E-07,1.52E-06,1.52E-06,2.43E-05,7.81E-06,1.39E-06,6.26E-06,7.03E-07,8.49E-08,2.43E-06,1.10E-06,1.10E-06,1.41E-05,6.61E-08,6.79E-07,3.60E-07,3.53E-07,8.93E-06
Brain,4.58E-08,4.08E-04,4.21E-07,5.63E-06,3.96E-08,3.37E-08,1.67E-08,7.45E-08,2.34E-08,5.23E-09,1.07E-07,1.07E-07,3.16E-08,6.23E-08,1.99E-07,4.53E-08,5.34E-09,5.38E-06,8.88E-07,1.27E-06,1.27E-06,5.77E-08,1.19E-08,2.06E-07,6.53E-07,3.81E-09,8.51E-06
Esophagus,2.39E-06,4.21E-07,1.41E-02,4.11E-07,1.51E-06,1.06E-06,6.47E-07,6.88E-06,7.58E-07,5.28E-08,8.12E-06,8.20E-06,1.11E-06,2.89E-06,5.63E-06,3.31E-06,1.45E-07,1.55E-06,7.76E-07,7.97E-07,7.97E-07,2.16E-06,2.81E-08,5.27E-06,1.56E-05,8.10E-08,8.74E-06
Eyes,2.95E-08,5.65E-06,4.11E-07,3.76E-02,7.36E-08,4.96E-08,1.91E-08,7.93E-08,2.66E-08,9.38E-09,1.47E-07,1.47E-07,3.20E-08,7.34E-08,1.84E-07,5.33E-08,7.93E-09,3.13E-06,8.88E-07,1.27E-06,1.27E-06,5.19E-08,3.76E-09,2.14E-07,5.57E-07,6.86E-09,8.51E-06
Gallbladder Wall,5.44E-06,3.96E-08,1.51E-06,7.36E-08,2.82E-04,2.79E-06,2.31E-06,1.85E-06,1.33E-05,3.68E-07,1.83E-06,1.83E-06,2.84E-06,1.24E-05,1.21E-06,3.28E-06,5.34E-07,8.70E-08,1.05E-06,4.35E-07,4.35E-07,9.04E-07,7.63E-08,7.94E-07,3.15E-07,3.39E-07,9.01E-06
LLI Wall,6.00E-06,3.37E-08,1.06E-06,4.96E-08,2.79E-06,1.39E-04,8.35E-06,5.15E-06,2.03E-06,2.55E-06,1.36E-06,1.36E-06,3.84E-06,1.24E-06,8.58E-07,1.21E-05,1.37E-06,5.27E-08,1.90E-06,7.28E-07,7.28E-07,4.30E-06,1.27E-07,4.51E-07,1.86E-07,8.57E-07,8.98E-06
Small Intestine,2.37E-06,1.67E-08,6.48E-07,2.93E-08,2.31E-06,8.35E-06,4.07E-05,2.25E-06,6.29E-06,3.85E-06,8.08E-07,8.08E-07,2.20E-06,1.25E-06,4.22E-07,6.64E-06,2.88E-06,3.78E-08,1.67E-06,5.52E-07,5.52E-07,1.36E-06,3.16E-07,2.95E-07,1.24E-07,2.19E-06,9.02E-06
Stomach Wall,4.57E-06,7.39E-08,6.93E-06,7.94E-08,1.75E-06,5.15E-06,1.46E-06,7.54E-05,5.06E-07,2.57E-07,5.94E-06,5.95E-06,1.92E-06,2.55E-06,3.47E-06,1.92E-05,2.84E-07,1.45E-07,8.05E-07,4.08E-07,4.08E-07,7.90E-06,4.44E-08,1.43E-06,5.95E-07,1.59E-07,8.89E-06
ULI Wall,2.77E-06,2.34E-08,7.58E-07,2.66E-08,1.33E-05,2.03E-06,4.09E-06,5.06E-07,9.55E-05,8.26E-07,1.10E-06,1.10E-06,2.56E-06,3.13E-06,5.79E-07,3.79E-06,1.23E-06,5.01E-08,1.43E-06,4.97E-07,4.97E-07,8.67E-07,9.98E-08,3.75E-07,6.44E-08,1.01E-06,8.98E-06
Rectum,5.04E-07,5.23E-09,1.27E-07,9.38E-09,3.68E-07,2.55E-06,3.85E-06,2.57E-07,8.26E-07,1.58E-04,1.31E-07,1.31E-07,8.30E-07,2.51E-07,9.75E-08,4.40E-07,1.50E-05,8.93E-09,1.90E-06,7.28E-07,7.28E-07,3.81E-07,1.24E-06,4.58E-08,3.05E-08,7.92E-06,8.98E-06
