,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,8.02E-03,9.90E-08,9.24E-07,5.29E-06,5.40E-08,1.32E-05,3.71E-06,3.20E-06,1.53E-05,2.41E-06,5.55E-07,2.82E-06,2.82E-06,3.24E-05,1.48E-05,2.82E-06,9.89E-07,1.49E-05,1.54E-07,4.28E-06,2.15E-06,2.15E-06,1.07E-04,1.19E-06,5.77E-07,5.11E-07,7.41E-07,4.20E-06
Brain,9.90E-08,1.19E-04,3.00E-07,5.18E-07,1.09E-05,5.80E-08,5.38E-08,2.34E-08,1.18E-07,4.11E-08,1.04E-08,2.79E-07,2.79E-07,6.65E-08,1.27E-07,4.51E-07,1.45E-08,6.51E-08,9.04E-06,1.94E-06,2.31E-06,2.31E-06,1.05E-07,5.24E-07,1.35E-06,7.78E-09,1.33E-08,3.42E-06
Breasts,9.24E-07,3.00E-07,2.49E-04,2.18E-06,5.62E-07,8.55E-07,4.56E-07,4.82E-07,1.73E-06,5.94E-07,8.98E-08,4.19E-06,4.19E-06,5.14E-07,1.79E-06,3.28E-06,1.26E-07,1.20E-06,7.05E-07,1.10E-06,7.38E-07,7.38E-07,8.03E-07,4.52E-06,2.02E-06,8.65E-08,1.32E-07,3.28E-06
Esophagus,5.30E-06,5.18E-07,2.18E-06,2.99E-03,4.57E-07,2.32E-06,9.98E-07,6.99E-07,4.98E-06,8.14E-07,8.68E-08,1.78E-05,2.04E-05,2.17E-06,6.31E-06,9.79E-06,2.87E-07,6.33E-06,1.85E-06,1.51E-06,1.50E-06,1.50E-06,3.78E-06,1.47E-05,2.91E-05,1.38E-07,2.57E-07,3.61E-06
Eyes,5.40E-08,1.18E-05,5.64E-07,4.57E-07,7.17E-03,6.11E-08,5.21E-08,3.77E-08,1.28E-07,4.46E-08,2.01E-08,3.35E-07,3.35E-07,6.19E-08,1.50E-07,4.32E-07,1.46E-08,9.94E-08,8.18E-06,1.94E-06,2.31E-06,2.31E-06,1.05E-07,6.30E-07,1.89E-06,1.59E-08,1.82E-08,3.42E-06
Gallbladder Wall,1.35E-05,5.80E-08,8.55E-07,2.33E-06,6.11E-08,1.39E-03,9.81E-06,8.57E-06,3.23E-06,1.30E-05,1.13E-06,1.33E-06,1.33E-06,1.35E-05,1.16E-05,1.17E-06,2.02E-06,1.30E-05,8.92E-08,1.66E-06,8.30E-07,8.30E-07,2.42E-06,6.56E-07,3.30E-07,1.03E-06,1.72E-06,4.13E-06
LLI Wall,3.72E-06,5.38E-08,4.56E-07,9.98E-07,5.21E-08,9.81E-06,7.51E-04,8.75E-06,8.12E-06,2.79E-06,3.58E-06,9.81E-06,9.81E-06,5.10E-06,2.01E-06,8.88E-07,3.57E-06,4.87E-06,6.32E-08,3.66E-06,1.38E-06,1.38E-06,9.79E-06,5.07E-07,1.81E-07,2.54E-06,4.13E-06,4.27E-06
Small Intestine,3.20E-06,3.43E-08,4.82E-07,1.03E-06,5.52E-08,8.57E-06,8.75E-06,2.30E-04,5.20E-06,8.66E-06,3.57E-06,9.40E-07,9.41E-07,4.93E-06,2.52E-06,7.33E-07,6.76E-06,1.20E-05,8.13E-08,3.03E-06,1.06E-06,1.06E-06,3.69E-06,3.93E-07,1.99E-07,4.27E-06,9.30E-06,4.05E-06
Stomach Wall,1.53E-05,1.18E-07,1.73E-06,4.67E-06,1.28E-07,3.17E-06,8.12E-06,4.81E-06,3.16E-04,1.06E-06,4.37E-07,5.68E-06,5.68E-06,4.73E-06,3.85E-06,4.62E-06,6.76E-07,2.03E-05,2.29E-07,1.42E-06,8.34E-07,8.34E-07,2.43E-05,1.46E-06,7.35E-07,4.06E-07,5.98E-07,4.11E-06
ULI Wall,2.41E-06,2.41E-06,5.94E-07,8.14E-07,4.46E-08,1.30E-05,2.79E-06,8.66E-06,1.06E-06,4.11E-04,1.50E-06,7.53E-07,7.54E-07,4.53E-06,3.99E-06,6.32E-07,3.51E-06,4.37E-06,5.04E-08,2.45E-06,9.27E-07,9.27E-07,1.52E-06,3.93E-07,2.91E-07,1.52E-06,2.52E-06,4.30E-06
