,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,7.50E-03,8.47E-08,3.44E-06,5.36E-08,7.95E-06,9.04E-06,3.45E-06,7.18E-06,4.25E-06,8.04E-07,2.52E-06,2.53E-06,4.67E-05,1.31E-05,2.18E-06,9.43E-06,1.08E-06,1.46E-07,3.83E-06,1.70E-06,1.70E-06,2.10E-05,1.14E-07,9.80E-07,5.64E-07,6.00E-07,3.43E-06
Brain,8.47E-08,1.08E-04,6.73E-07,8.63E-06,7.45E-08,5.84E-08,3.07E-08,1.25E-07,4.32E-08,1.01E-08,1.78E-07,1.79E-07,5.59E-08,1.12E-07,3.28E-07,8.31E-08,1.01E-08,8.26E-06,1.34E-06,1.94E-06,1.94E-06,1.04E-07,9.08E-09,3.50E-07,1.05E-06,6.82E-09,2.79E-06
Esophagus,3.51E-06,6.73E-07,2.65E-03,6.68E-07,2.24E-06,1.61E-06,9.40E-07,1.03E-05,1.25E-06,9.99E-08,1.25E-05,1.32E-05,1.76E-06,4.23E-06,8.68E-06,5.08E-06,2.05E-07,2.35E-06,1.20E-06,1.23E-06,1.23E-06,3.30E-06,4.70E-08,8.05E-06,2.27E-05,1.47E-07,3.14E-06
Eyes,5.36E-08,8.63E-06,6.68E-07,7.21E-03,1.26E-07,8.79E-08,3.57E-08,1.23E-07,5.03E-08,1.53E-08,2.52E-07,2.52E-07,5.42E-08,1.27E-07,3.00E-07,9.01E-08,1.48E-08,4.90E-06,1.34E-06,1.94E-06,1.94E-06,8.74E-08,7.56E-09,3.96E-07,8.99E-07,1.29E-08,2.79E-06
Gallbladder Wall,8.02E-06,7.46E-08,2.24E-06,1.26E-07,1.18E-03,4.13E-06,3.62E-06,2.96E-06,1.99E-05,6.31E-07,2.86E-06,2.86E-06,4.34E-06,1.98E-05,1.86E-06,5.08E-06,8.20E-07,1.76E-07,1.58E-06,6.75E-07,6.75E-07,1.40E-06,1.39E-07,1.28E-06,4.81E-07,5.51E-07,3.55E-06
LLI Wall,9.05E-06,5.84E-08,1.61E-06,8.79E-08,4.13E-06,8.01E-04,1.24E-05,7.56E-06,3.02E-06,3.83E-06,2.07E-06,2.07E-06,5.76E-06,1.93E-06,1.31E-06,1.94E-05,2.16E-06,9.45E-08,2.90E-06,1.11E-06,1.11E-06,6.58E-06,2.28E-07,7.49E-07,2.99E-07,1.36E-06,3.51E-06
Small Intestine,3.46E-06,3.07E-08,9.41E-07,5.48E-08,3.62E-06,1.24E-05,1.88E-04,3.42E-06,9.35E-06,5.74E-06,1.26E-06,1.26E-06,3.38E-06,1.94E-06,6.54E-07,1.04E-05,4.41E-06,6.48E-08,2.53E-06,8.48E-07,8.48E-07,2.02E-06,5.14E-07,4.69E-07,2.08E-07,3.32E-06,3.55E-06
Stomach Wall,6.93E-06,1.33E-07,1.08E-05,1.23E-07,2.68E-06,7.56E-06,2.23E-06,2.90E-04,7.70E-07,4.30E-07,8.89E-06,8.98E-06,2.91E-06,4.00E-06,5.56E-06,3.13E-05,4.54E-07,2.31E-07,1.24E-06,6.31E-07,6.31E-07,1.19E-05,7.96E-08,2.21E-06,9.08E-07,2.59E-07,3.36E-06
ULI Wall,4.26E-06,4.32E-08,1.25E-06,5.03E-08,1.99E-05,3.02E-06,6.06E-06,7.70E-07,4.39E-04,1.31E-06,1.71E-06,1.72E-06,3.85E-06,4.79E-06,9.16E-07,5.75E-06,1.77E-06,9.74E-08,2.18E-06,7.72E-07,7.72E-07,1.29E-06,1.51E-07,6.02E-07,1.01E-07,1.58E-06,3.51E-06
Rectum,8.04E-07,1.01E-08,2.02E-07,1.53E-08,6.31E-07,3.83E-06,5.74E-06,4.30E-07,1.31E-06,8.29E-04,2.27E-07,2.27E-07,1.30E-06,4.08E-07,1.67E-07,7.28E-07,2.23E-05,1.64E-08,2.90E-06,1.11E-06,1.11E-06,6.41E-07,1.95E-06,7.43E-08,5.75E-08,1.18E-05,3.51E-06
