,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,9.50E-03,1.79E-15,9.45E-10,1.76E-09,6.44E-15,2.60E-12,1.08E-13,7.67E-14,1.04E-11,3.44E-14,8.29E-15,4.40E-14,2.68E-09,1.34E-05,4.27E-06,8.80E-09,3.16E-09,2.57E-08,8.17E-15,4.92E-13,2.72E-13,2.72E-13,8.88E-05,1.75E-09,8.27E-15,7.26E-15,9.10E-11,2.49E-06
Brain,2.53E-11,1.11E-04,2.77E-10,3.84E-10,1.78E-08,1.08E-15,8.82E-16,4.88E-16,1.99E-15,8.06E-16,2.74E-16,4.45E-15,1.87E-10,6.21E-12,4.27E-11,3.26E-10,1.43E-15,2.67E-11,1.37E-08,5.25E-13,7.08E-13,7.08E-13,4.53E-11,5.95E-10,1.48E-09,1.97E-16,2.79E-16,2.49E-06
Breasts,1.29E-14,4.44E-15,2.73E-04,2.99E-14,9.51E-15,1.11E-14,6.71E-15,7.26E-15,2.53E-14,1.02E-14,1.42E-15,1.13E-13,1.13E-13,7.73E-15,2.68E-14,1.41E-13,2.15E-15,1.75E-14,2.04E-14,1.59E-13,9.38E-14,9.38E-14,1.20E-14,1.02E-13,3.27E-14,1.38E-15,2.85E-15,2.49E-06
Esophagus,8.41E-09,6.80E-10,3.46E-09,3.53E-03,1.08E-10,3.43E-14,1.43E-14,1.04E-14,3.02E-13,1.07E-14,1.36E-15,1.85E-11,5.10E-06,3.66E-09,1.14E-08,2.48E-08,4.60E-14,1.15E-08,2.18E-09,5.69E-14,6.92E-14,6.92E-14,4.48E-09,3.38E-08,1.08E-06,2.38E-15,5.26E-11,2.49E-06
Eyes,2.60E-14,1.79E-08,2.52E-09,2.48E-13,8.50E-03,1.12E-15,9.31E-16,6.88E-16,1.96E-15,1.14E-15,3.67E-16,4.84E-15,2.44E-10,1.24E-15,2.36E-15,2.08E-13,2.53E-16,1.60E-15,1.23E-08,5.25E-13,7.08E-13,7.08E-13,1.94E-15,3.85E-13,2.39E-09,2.93E-16,2.59E-16,2.49E-06
Gallbladder Wall,2.47E-08,6.79E-15,5.20E-10,5.84E-09,1.57E-13,1.56E-03,2.54E-11,6.91E-12,4.17E-14,9.99E-12,1.46E-14,1.78E-14,1.19E-09,2.99E-08,5.16E-08,1.48E-09,2.30E-09,2.70E-08,4.51E-11,2.54E-14,1.23E-14,1.23E-14,2.56E-09,1.06E-09,3.66E-10,1.61E-14,2.38E-09,2.49E-06
LLI Wall,4.31E-09,7.34E-15,1.28E-10,9.28E-10,9.31E-16,2.54E-11,9.34E-04,2.12E-12,2.31E-12,2.66E-12,3.20E-12,2.54E-11,1.24E-09,7.36E-09,1.67E-09,3.41E-10,6.38E-09,6.17E-09,1.09E-15,7.77E-13,2.55E-13,2.55E-13,2.06E-08,1.54E-10,5.66E-11,5.26E-13,3.59E-09,2.49E-06
Small Intestine,5.34E-09,7.40E-15,5.15E-10,1.46E-09,6.37E-13,6.91E-12,2.12E-12,2.67E-04,1.10E-12,1.66E-12,1.44E-13,1.29E-14,1.06E-09,8.74E-09,4.23E-09,9.28E-10,1.23E-08,1.93E-06,2.02E-14,3.36E-13,8.99E-14,8.99E-14,6.48E-09,3.02E-10,9.35E-11,1.87E-13,1.08E-06,2.49E-06
Stomach Wall,8.40E-07,2.40E-11,2.50E-09,8.22E-09,3.06E-11,4.16E-14,2.31E-12,9.60E-13,3.25E-04,1.84E-14,6.74E-15,4.76E-13,1.07E-08,7.25E-09,1.30E-07,7.50E-07,6.27E-10,2.18E-06,2.80E-10,6.17E-14,3.95E-14,3.95E-14,4.91E-06,1.74E-09,8.16E-10,5.77E-15,6.36E-10,2.49E-06
ULI Wall,4.31E-09,3.46E-14,4.36E-10,8.42E-10,2.50E-12,9.99E-12,2.66E-12,1.66E-12,1.84E-14,4.67E-04,2.12E-14,1.08E-14,1.74E-09,3.32E-07,2.73E-07,6.13E-10,5.34E-09,1.01E-08,7.99E-12,1.70E-13,1.08E-13,1.08E-13,2.66E-09,3.49E-10,1.79E-10,2.26E-14,5.63E-09,2.49E-06
Rectum,2.30E-10,2.74E-16,1.28E-14,2.56E-14,3.67E-16,1.46E-14,3.20E-12,1.63E-13,6.74E-15,2.12E-14,9.34E-04,2.53E-15,1.02E-10,2.08E-09,5.38E-11,1.31E-14,4.23E-08,3.42E-10,2.44E-16,7.77E-13,2.55E-13,2.55E-13,7.58E-10,5.27E-12,4.79E-16,4.16E-11,2.32E-05,2.49E-06
Heart Wall,4.21E-09,1.74E-10,8.20E-09,4.42E-06,3.21E-10,1.80E-14,1.99E-14,1.21E-14,4.71E-13,1.08E-14,2.53E-15,2.02E-04,5.76E-04,1.78E-09,5.62E-09,2.72E-06,1.35E-10,5.15E-09,6.12E-10,7.94E-14,4.70E-14,4.70E-14,5.88E-09,4.98E-06,4.85E-09,2.51E-15,2.63E-10,2.49E-06
Kidneys,1.38E-05,1.75E-11,4.63E-10,3.04E-09,9.33E-15,2.94E-12,2.65E-13,2.50E-13,1.73E-13,1.07E-12,1.30E-14,1.80E-14,1.67E-09,5.06E-04,5.37E-07,1.98E-09,2.32E-09,1.43E-08,3.59E-11,1.84E-13,7.46E-14,7.46E-14,5.26E-06,6.54E-10,1.70E-10,1.05E-14,1.90E-09,2.49E-06
Liver,3.89E-06,3.92E-11,2.46E-09,9.93E-09,4.50E-11,2.04E-12,2.58E-13,9.12E-14,6.41E-13,9.13E-13,6.46E-15,1.42E-13,5.90E-09,5.44E-07,1.03E-04,1.17E-06,5.68E-10,1.58E-06,2.51E-10,1.20E-13,7.48E-14,7.48E-14,2.87E-09,3.34E-09,1.06E-09,5.98E-15,6.36E-10,2.49E-06
Lungs,4.58E-09,4.60E-10,5.25E-09,1.80E-08,2.74E-10,1.78E-14,2.09E-14,9.31E-15,3.34E-12,8.84E-15,2.07E-15,1.09E-11,2.57E-06,1.97E-09,1.12E-06,1.40E-04,1.22E-10,3.16E-09,1.19E-09,1.38E-13,8.62E-14,8.62E-14,4.30E-09,6.20E-06,1.09E-08,2.09E-15,1.29E-10,2.49E-06
Ovaries,5.76E-10,3.60E-16,1.04E-13,3.09E-14,2.53E-16,2.90E-14,1.80E-13,5.29E-13,9.37E-15,5.59E-14,4.93E-12,3.87E-15,7.65E-10,1.36E-09,3.18E-10,1.36E-14,1.15E-02,1.07E-09,7.08E-16,1.42E-13,3.98E-14,3.98E-14,5.44E-10,2.91E-14,7.78E-16,6.14E-13,6.07E-07,2.49E-06
