,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,1.55E-03,4.65E-08,5.36E-07,2.97E-06,2.92E-08,7.82E-06,2.09E-06,1.90E-06,8.66E-06,1.28E-06,3.07E-07,1.56E-06,1.56E-06,1.53E-05,7.21E-06,1.92E-06,5.83E-07,8.47E-06,1.12E-07,2.44E-06,1.27E-06,1.27E-06,4.29E-05,5.65E-07,3.13E-07,2.82E-07,4.17E-07,1.64E-06
Brain,4.65E-08,3.43E-05,1.59E-07,2.79E-07,6.23E-06,2.63E-08,2.32E-08,1.04E-08,6.24E-08,1.66E-08,3.78E-09,1.42E-07,1.42E-07,3.13E-08,6.14E-08,2.51E-07,5.22E-09,3.13E-08,5.20E-06,1.12E-06,1.33E-06,1.33E-06,5.20E-08,2.76E-07,7.34E-07,2.69E-09,3.55E-09,1.19E-06
Breasts,5.36E-07,1.59E-07,5.77E-05,1.25E-06,3.12E-07,4.24E-07,2.49E-07,2.52E-07,9.62E-07,3.19E-07,4.63E-08,2.40E-06,2.40E-06,2.88E-07,9.81E-07,1.89E-06,5.51E-08,6.55E-07,3.81E-07,6.12E-07,4.09E-07,4.09E-07,4.32E-07,2.60E-06,1.13E-06,3.59E-08,7.43E-08,1.11E-06
Esophagus,2.97E-06,2.79E-07,1.25E-06,5.82E-04,2.56E-07,1.32E-06,5.81E-07,3.90E-07,2.99E-06,4.39E-07,4.85E-08,1.01E-05,1.03E-05,1.20E-06,3.63E-06,5.51E-06,1.48E-07,3.51E-06,1.03E-06,8.48E-07,8.51E-07,8.51E-07,2.18E-06,8.45E-06,1.68E-05,7.54E-08,1.33E-07,1.30E-06
Eyes,2.92E-08,6.41E-06,3.12E-07,2.56E-07,1.41E-03,2.60E-08,2.35E-08,1.55E-08,7.01E-08,1.49E-08,8.96E-09,1.64E-07,1.64E-07,2.58E-08,7.37E-08,2.36E-07,6.43E-09,4.16E-08,4.53E-06,1.12E-06,1.33E-06,1.33E-06,5.19E-08,3.60E-07,7.74E-07,7.30E-09,8.48E-09,1.19E-06
Gallbladder Wall,7.58E-06,2.63E-08,4.25E-07,1.32E-06,2.60E-08,3.32E-04,5.82E-06,4.98E-06,1.81E-06,7.34E-06,5.93E-07,7.75E-07,7.75E-07,8.06E-06,6.68E-06,7.19E-07,1.08E-06,7.23E-06,4.30E-08,9.66E-07,4.74E-07,4.74E-07,1.36E-06,3.54E-07,1.86E-07,5.68E-07,9.01E-07,1.58E-06
LLI Wall,2.09E-06,2.32E-08,2.49E-07,5.81E-07,2.35E-08,5.82E-06,1.43E-04,5.01E-06,4.75E-06,1.63E-06,2.09E-06,5.82E-06,5.82E-06,2.90E-06,1.12E-06,4.94E-07,1.97E-06,2.69E-06,3.16E-08,2.10E-06,7.90E-07,7.90E-07,5.67E-06,2.62E-07,9.05E-08,1.46E-06,2.47E-06,1.68E-06
Small Intestine,1.90E-06,1.52E-08,2.52E-07,5.72E-07,2.27E-08,4.98E-06,5.01E-06,4.97E-05,2.96E-06,4.89E-06,2.04E-06,5.14E-07,5.14E-07,2.77E-06,1.41E-06,3.90E-07,3.84E-06,6.50E-06,3.50E-08,1.75E-06,6.07E-07,6.07E-07,2.12E-06,2.02E-07,9.35E-08,2.39E-06,5.11E-06,1.53E-06
Stomach Wall,8.61E-06,6.24E-08,9.62E-07,2.62E-06,7.01E-08,1.74E-06,4.75E-06,2.78E-06,8.34E-05,5.95E-07,2.39E-07,3.14E-06,3.14E-06,2.61E-06,2.13E-06,2.43E-06,3.51E-07,1.11E-05,1.19E-07,7.99E-07,4.67E-07,4.67E-07,1.29E-05,8.26E-07,4.00E-07,2.01E-07,3.21E-07,1.59E-06
ULI Wall,1.28E-06,1.28E-06,3.19E-07,4.39E-07,1.49E-08,7.34E-06,1.63E-06,4.89E-06,5.95E-07,9.30E-05,7.82E-07,4.28E-07,4.28E-07,2.56E-06,2.19E-06,3.37E-07,1.90E-06,2.39E-06,2.35E-08,1.35E-06,5.18E-07,5.18E-07,8.26E-07,2.27E-07,1.38E-07,7.95E-07,1.42E-06,1.68E-06
