OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:I-124 (4.18 d) for ICRP 89 Adult Male,

,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body,
Adrenals,2.22E-03,3.78E-08,1.86E-06,2.31E-08,4.47E-06,5.05E-06,1.93E-06,3.99E-06,2.30E-06,4.11E-07,1.21E-06,1.21E-06,2.38E-05,6.91E-06,1.13E-06,5.13E-06,5.85E-07,6.87E-08,2.02E-06,9.17E-07,9.17E-07,1.15E-05,5.82E-08,5.39E-07,3.01E-07,3.00E-07,1.47E-06,
Brain,3.78E-08,4.02E-05,3.49E-07,4.66E-06,3.25E-08,2.70E-08,1.34E-08,6.12E-08,1.83E-08,3.92E-09,8.68E-08,8.69E-08,2.53E-08,5.16E-08,1.63E-07,3.73E-08,3.98E-09,4.44E-06,7.39E-07,1.06E-06,1.06E-06,4.65E-08,7.02E-09,1.69E-07,5.40E-07,2.92E-09,1.13E-06,
Esophagus,1.95E-06,3.49E-07,7.89E-04,3.23E-07,1.21E-06,8.78E-07,5.24E-07,5.67E-06,6.17E-07,4.61E-08,6.77E-06,7.06E-06,9.13E-07,2.28E-06,4.67E-06,2.77E-06,1.20E-07,1.27E-06,6.46E-07,6.65E-07,6.65E-07,1.75E-06,2.38E-08,4.32E-06,1.30E-05,7.16E-08,1.32E-06,
Eyes,2.31E-08,4.60E-06,3.23E-07,2.16E-03,6.09E-08,4.16E-08,1.50E-08,6.29E-08,2.01E-08,7.60E-09,1.23E-07,1.23E-07,2.54E-08,5.90E-08,1.50E-07,4.62E-08,6.10E-09,2.55E-06,7.39E-07,1.06E-06,1.06E-06,4.01E-08,3.29E-09,1.69E-07,4.52E-07,8.50E-09,1.13E-06,
Gallbladder Wall,4.43E-06,3.26E-08,1.21E-06,6.09E-08,4.09E-04,2.30E-06,1.91E-06,1.52E-06,1.10E-05,3.02E-07,1.48E-06,1.48E-06,2.27E-06,1.07E-05,1.03E-06,2.67E-06,4.27E-07,7.54E-08,8.73E-07,3.62E-07,3.62E-07,7.42E-07,6.32E-08,6.50E-07,2.55E-07,2.84E-07,1.54E-06,
LLI Wall,5.05E-06,2.70E-08,8.78E-07,4.16E-08,2.30E-06,2.47E-04,6.89E-06,4.21E-06,1.68E-06,2.11E-06,1.10E-06,1.10E-06,3.12E-06,1.02E-06,7.01E-07,1.04E-05,1.10E-06,4.19E-08,1.57E-06,6.09E-07,6.09E-07,3.50E-06,1.04E-07,3.89E-07,1.54E-07,7.04E-07,1.52E-06,
Small Intestine,1.93E-06,1.34E-08,5.24E-07,2.31E-08,1.91E-06,6.89E-06,6.21E-05,1.84E-06,5.15E-06,3.16E-06,6.57E-07,6.58E-07,1.79E-06,1.02E-06,3.45E-07,5.65E-06,2.35E-06,3.11E-08,1.36E-06,4.52E-07,4.52E-07,1.10E-06,2.58E-07,2.44E-07,1.02E-07,1.78E-06,1.55E-06,
Stomach Wall,3.73E-06,6.12E-08,5.85E-06,6.29E-08,1.42E-06,4.21E-06,1.20E-06,1.03E-04,4.15E-07,2.13E-07,4.85E-06,4.88E-06,1.56E-06,2.10E-06,2.99E-06,1.69E-05,2.32E-07,1.16E-07,6.64E-07,3.36E-07,3.36E-07,6.50E-06,3.45E-08,1.17E-06,4.83E-07,1.29E-07,1.44E-06,
ULI Wall,2.30E-06,1.83E-08,6.17E-07,2.01E-08,1.10E-05,1.68E-06,3.35E-06,4.15E-07,1.46E-04,6.79E-07,8.98E-07,8.99E-07,2.07E-06,2.56E-06,4.72E-07,3.12E-06,9.84E-07,4.24E-08,1.17E-06,4.08E-07,4.08E-07,7.01E-07,8.23E-08,3.07E-07,5.08E-08,8.15E-07,1.51E-06,
Rectum,4.11E-07,3.92E-09,9.98E-08,7.60E-09,3.02E-07,2.11E-06,3.16E-06,2.13E-07,6.79E-07,2.64E-04,1.09E-07,1.09E-07,6.82E-07,2.06E-07,7.86E-08,3.62E-07,1.21E-05,6.55E-09,1.57E-06,6.09E-07,6.09E-07,3.20E-07,9.86E-07,3.99E-08,2.37E-08,6.46E-06,1.52E-06,
