OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:Zr-89 (78.41 h) for ICRP 89 Adult Male,

,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body,
Adrenals,1.46E-03,3.71E-08,2.01E-06,2.56E-08,4.77E-06,5.06E-06,2.06E-06,4.07E-06,2.38E-06,4.33E-07,1.33E-06,1.33E-06,2.11E-05,6.75E-06,1.20E-06,5.23E-06,6.03E-07,7.18E-08,2.09E-06,9.65E-07,9.65E-07,1.21E-05,5.08E-08,6.61E-07,3.32E-07,2.98E-07,1.33E-06,
Brain,3.71E-08,3.14E-05,3.69E-07,4.91E-06,3.17E-08,2.96E-08,1.29E-08,6.45E-08,1.88E-08,3.47E-09,9.32E-08,9.32E-08,2.57E-08,5.36E-08,1.75E-07,3.74E-08,3.56E-09,4.69E-06,7.87E-07,1.11E-06,1.11E-06,4.80E-08,9.95E-09,1.79E-07,5.73E-07,2.27E-09,9.58E-07,
Esophagus,2.10E-06,3.69E-07,5.17E-04,3.85E-07,1.33E-06,8.83E-07,5.97E-07,5.93E-06,6.52E-07,4.42E-08,6.83E-06,6.89E-06,9.31E-07,2.49E-06,4.78E-06,2.82E-06,1.44E-07,1.35E-06,6.82E-07,7.00E-07,7.00E-07,1.84E-06,2.15E-08,4.50E-06,1.33E-05,7.10E-08,1.16E-06,
Eyes,2.56E-08,4.83E-06,3.85E-07,1.41E-03,6.58E-08,4.30E-08,1.53E-08,7.24E-08,1.79E-08,7.80E-09,1.28E-07,1.28E-07,2.72E-08,6.34E-08,1.62E-07,4.40E-08,6.72E-09,2.84E-06,7.87E-07,1.11E-06,1.11E-06,4.57E-08,3.31E-09,1.70E-07,4.90E-07,5.24E-09,9.58E-07,
Gallbladder Wall,4.65E-06,3.17E-08,1.33E-06,6.58E-08,2.94E-04,2.46E-06,1.95E-06,1.58E-06,1.14E-05,3.15E-07,1.55E-06,1.55E-06,2.45E-06,1.07E-05,1.03E-06,2.79E-06,4.76E-07,6.61E-08,9.15E-07,3.81E-07,3.81E-07,7.90E-07,6.44E-08,6.77E-07,2.70E-07,3.02E-07,1.39E-06,
LLI Wall,5.06E-06,2.96E-08,8.83E-07,4.30E-08,2.46E-06,1.52E-04,7.13E-06,4.42E-06,1.78E-06,2.19E-06,1.18E-06,1.18E-06,3.28E-06,1.07E-06,7.36E-07,1.04E-05,1.17E-06,4.63E-08,1.65E-06,6.34E-07,6.34E-07,3.67E-06,1.12E-07,3.96E-07,1.56E-07,7.43E-07,1.37E-06,
Small Intestine,2.06E-06,1.29E-08,5.97E-07,2.36E-08,1.95E-06,7.13E-06,4.20E-05,1.95E-06,5.37E-06,3.30E-06,6.95E-07,6.95E-07,1.88E-06,1.08E-06,3.70E-07,5.71E-06,2.46E-06,3.28E-08,1.47E-06,4.85E-07,4.85E-07,1.19E-06,2.75E-07,2.57E-07,1.04E-07,1.87E-06,1.41E-06,
Stomach Wall,3.90E-06,6.41E-08,5.97E-06,7.24E-08,1.50E-06,4.42E-06,1.27E-06,7.60E-05,4.44E-07,2.24E-07,5.06E-06,5.06E-06,1.65E-06,2.17E-06,2.96E-06,1.65E-05,2.48E-07,1.29E-07,7.00E-07,3.56E-07,3.56E-07,6.77E-06,3.76E-08,1.24E-06,5.16E-07,1.37E-07,1.30E-06,
ULI Wall,2.38E-06,1.88E-08,6.52E-07,1.79E-08,1.14E-05,1.78E-06,3.49E-06,4.44E-07,9.94E-05,7.07E-07,9.52E-07,9.53E-07,2.22E-06,2.68E-06,5.06E-07,3.33E-06,1.10E-06,3.75E-08,1.24E-06,4.30E-07,4.30E-07,7.73E-07,8.15E-08,3.20E-07,5.81E-08,8.93E-07,1.37E-06,
Rectum,4.33E-07,3.47E-09,1.21E-07,7.80E-09,3.15E-07,2.19E-06,3.30E-06,2.24E-07,7.07E-07,1.70E-04,1.13E-07,1.13E-07,7.28E-07,2.20E-07,8.66E-08,3.82E-07,1.27E-05,6.06E-09,1.65E-06,6.34E-07,6.34E-07,3.31E-07,1.08E-06,4.28E-08,2.27E-08,6.80E-06,1.37E-06,
