Available tissues for human,Mass Male human model [g],Source
adrenal glands,14,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
bladder wall,50,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
blood,6364,Matt's list (mail 220926)
bone,10500,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-5
bone marrow,1170,Matt's list (mail 220926)
bone marrow (from blood),1170,
bone residual,,
bottom half,,
brain,1450,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
cecum,90,
eyes,15,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
feces,150,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
femur,,
gallbladder,10,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
heart,330,Matt's list (mail 220926)
kidney,310,Matt's list (mail 220926)
large intestine,370,Matt's list (mail 220926)
large intestine contents,300,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-8
liver,1800,Matt's list (mail 220926)
lung,1200,Matt's list (mail 220926)
muscle,28000,Matt's communication (221114)
ovaries,11,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-12
pancreas,140,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-13
prostate,17,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-14
salivary glands,85,Matt's list (mail 220926)
skeleton,10500,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-16
skin,3300,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-17
skull,660,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
small intestine,650,Matt's list (mail 220926)
small intestine contents,350,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
spleen,150,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
stomach,150,Matt's list (mail 220926)
stomach contents,250,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
tail,,
testes,35,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
thymus,25,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
thyroid,20,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
top half,,
total body,73,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
tumor,310,Matt's list (mail 220926)
urine,1600,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
uterus,80,https://journals.sagepub.com/doi/pdf/10.1177/ANIB_32_3-4
